LETO;STATISTICNA_REGIJA;SPOL;STAROST;PLACE
2009;Goriška;ženske;35-44;1389
2009;Goriška;moški;45-54;1580
2009;Goriška;ženske;45-54;1474
2009;Goriška;moški;55-64;1834
2009;Goriška;ženske;55-64;1941
2009;Goriška;moški;65 ali več;4703
2009;Jugovzhodna Slovenija;moški;15-24;932
2009;Jugovzhodna Slovenija;ženske;15-24;966
2009;Jugovzhodna Slovenija;moški;25-34;1252
2009;Jugovzhodna Slovenija;ženske;25-34;1218
2009;Jugovzhodna Slovenija;moški;35-44;1442
2009;Jugovzhodna Slovenija;ženske;35-44;1390
2009;Jugovzhodna Slovenija;moški;45-54;1496
2009;Jugovzhodna Slovenija;ženske;45-54;1464
2009;Jugovzhodna Slovenija;moški;55-64;1670
2009;Jugovzhodna Slovenija;ženske;55-64;2137
2009;Jugovzhodna Slovenija;moški;65 ali več;4470
2009;Koroška;moški;15-24;930
2009;Koroška;ženske;15-24;865
2009;Koroška;moški;25-34;1208
2009;Koroška;ženske;25-34;1105
2009;Koroška;moški;35-44;1398
2009;Koroška;ženske;35-44;1290
2009;Koroška;moški;45-54;1453
2009;Koroška;ženske;45-54;1433
2009;Koroška;moški;55-64;1707
2009;Koroška;ženske;55-64;1829
2009;Koroška;moški;65 ali več;4018
2009;Obalno-kraška;moški;15-24;876
2009;Obalno-kraška;ženske;15-24;897
2009;Obalno-kraška;moški;25-34;1282
2009;Obalno-kraška;ženske;25-34;1252
2009;Obalno-kraška;moški;35-44;1622
2009;Obalno-kraška;ženske;35-44;1514
2009;Obalno-kraška;moški;45-54;1665
2009;Obalno-kraška;ženske;45-54;1532
2009;Obalno-kraška;moški;55-64;1841
2009;Obalno-kraška;ženske;55-64;1821
2009;Obalno-kraška;moški;65 ali več;3303
2009;Osrednjeslovenska;moški;15-24;935
2009;Osrednjeslovenska;ženske;15-24;940
2009;Osrednjeslovenska;moški;25-34;1430
2009;Osrednjeslovenska;ženske;25-34;1387
2009;Osrednjeslovenska;moški;35-44;1792
2009;Osrednjeslovenska;ženske;35-44;1693
2009;Osrednjeslovenska;moški;45-54;1782
2009;Osrednjeslovenska;ženske;45-54;1707
2009;Osrednjeslovenska;moški;55-64;2029
2009;Osrednjeslovenska;ženske;55-64;2203
2009;Osrednjeslovenska;moški;65 ali več;4421
2009;Osrednjeslovenska;ženske;65 ali več;3616
2009;Podravska;moški;15-24;893
2009;Podravska;ženske;15-24;860
2009;Podravska;moški;25-34;1239
2009;Podravska;ženske;25-34;1187
2009;Podravska;moški;35-44;1445
2009;Podravska;ženske;35-44;1356
2009;Podravska;moški;45-54;1474
2009;Podravska;ženske;45-54;1457
2009;Podravska;moški;55-64;1696
2009;Podravska;ženske;55-64;1844
2009;Podravska;moški;65 ali več;4416
2009;Podravska;ženske;65 ali več;3615
2009;Pomurska;moški;15-24;920
2009;Pomurska;ženske;15-24;854
2009;Pomurska;moški;25-34;1180
2009;Pomurska;ženske;25-34;1146
2009;Pomurska;moški;35-44;1355
2009;Pomurska;ženske;35-44;1322
2009;Pomurska;moški;45-54;1416
2009;Pomurska;ženske;45-54;1447
2009;Pomurska;moški;55-64;1537
2009;Pomurska;ženske;55-64;1832
2009;Pomurska;moški;65 ali več;3721
2009;Posavska;moški;15-24;956
2009;Posavska;ženske;15-24;903
2009;Posavska;moški;25-34;1225
2009;Posavska;ženske;25-34;1188
2009;Posavska;moški;35-44;1395
2009;Posavska;ženske;35-44;1327
2009;Posavska;moški;45-54;1536
2009;Posavska;ženske;45-54;1374
2009;Posavska;moški;55-64;1641
2009;Posavska;ženske;55-64;1877
2009;Posavska;moški;65 ali več;4246
2009;Primorsko-notranjska;moški;15-24;880
2009;Primorsko-notranjska;ženske;15-24;856
2009;Primorsko-notranjska;moški;25-34;1238
2009;Primorsko-notranjska;ženske;25-34;1218
2009;Primorsko-notranjska;moški;35-44;1434
2009;Primorsko-notranjska;ženske;35-44;1342
2009;Primorsko-notranjska;moški;45-54;1451
2009;Primorsko-notranjska;ženske;45-54;1416
2009;Primorsko-notranjska;moški;55-64;1635
2009;Primorsko-notranjska;ženske;55-64;1701
2009;Primorsko-notranjska;moški;65 ali več;4079
2009;Savinjska;moški;15-24;884
2009;Savinjska;ženske;15-24;874
2009;Savinjska;moški;25-34;1224
2009;Savinjska;ženske;25-34;1174
2009;Savinjska;moški;35-44;1416
2009;Savinjska;ženske;35-44;1299
2009;Savinjska;moški;45-54;1504
2009;Savinjska;ženske;45-54;1391
2009;Savinjska;moški;55-64;1651
2009;Savinjska;ženske;55-64;1766
2009;Savinjska;moški;65 ali več;3713
2009;Zasavska;moški;15-24;902
2009;Zasavska;ženske;15-24;870
2009;Zasavska;moški;25-34;1264
2009;Zasavska;ženske;25-34;1224
2009;Zasavska;moški;35-44;1504
2009;Zasavska;ženske;35-44;1300
2009;Zasavska;moški;45-54;1514
2009;Zasavska;ženske;45-54;1399
2009;Zasavska;moški;55-64;1638
2009;Zasavska;ženske;55-64;1797
2010;Gorenjska;moški;15-24;1001
2010;Gorenjska;ženske;15-24;947
2010;Gorenjska;moški;25-34;1385
2010;Gorenjska;ženske;25-34;1293
2010;Gorenjska;moški;35-44;1697
2010;Gorenjska;ženske;35-44;1500
2010;Gorenjska;moški;45-54;1653
2010;Gorenjska;ženske;45-54;1537
2010;Gorenjska;moški;55-64;1830
2010;Gorenjska;ženske;55-64;1968
2010;Gorenjska;moški;65 ali več;4307
2010;Goriška;moški;15-24;946
2010;Goriška;ženske;15-24;915
2010;Goriška;moški;25-34;1309
2010;Goriška;ženske;25-34;1254
2010;Goriška;moški;35-44;1599
2010;Goriška;ženske;35-44;1444
2010;Goriška;moški;45-54;1639
2010;Goriška;ženske;45-54;1538
2010;Goriška;moški;55-64;1914
2010;Goriška;ženske;55-64;1972
2010;Goriška;moški;65 ali več;4225
2010;Jugovzhodna Slovenija;moški;15-24;1005
2010;Jugovzhodna Slovenija;ženske;15-24;1014
2010;Jugovzhodna Slovenija;moški;25-34;1334
2010;Jugovzhodna Slovenija;ženske;25-34;1279
2010;Jugovzhodna Slovenija;moški;35-44;1531
2010;Jugovzhodna Slovenija;ženske;35-44;1472
2010;Jugovzhodna Slovenija;moški;45-54;1607
2010;Jugovzhodna Slovenija;ženske;45-54;1552
2010;Jugovzhodna Slovenija;moški;55-64;1781
2010;Jugovzhodna Slovenija;ženske;55-64;2145
2010;Jugovzhodna Slovenija;moški;65 ali več;3398
2010;Koroška;moški;15-24;1005
2010;Koroška;ženske;15-24;914
2010;Koroška;moški;25-34;1253
2010;Koroška;ženske;25-34;1183
2010;Koroška;moški;35-44;1465
2010;Koroška;ženske;35-44;1407
2010;Koroška;moški;45-54;1535
2010;Koroška;ženske;45-54;1512
2010;Koroška;moški;55-64;1757
2010;Koroška;ženske;55-64;1937
2010;Obalno-kraška;moški;15-24;938
2010;Obalno-kraška;ženske;15-24;943
2010;Obalno-kraška;moški;25-34;1322
2010;Obalno-kraška;ženske;25-34;1296
2010;Obalno-kraška;moški;35-44;1661
2010;Obalno-kraška;ženske;35-44;1535
2010;Obalno-kraška;moški;45-54;1725
2010;Obalno-kraška;ženske;45-54;1580
2010;Obalno-kraška;moški;55-64;1887
2010;Obalno-kraška;ženske;55-64;1904
2010;Obalno-kraška;moški;65 ali več;3389
2010;Osrednjeslovenska;moški;15-24;1000
2010;Osrednjeslovenska;ženske;15-24;978
2010;Osrednjeslovenska;moški;25-34;1481
2010;Osrednjeslovenska;ženske;25-34;1426
2010;Osrednjeslovenska;moški;35-44;1866
2010;Osrednjeslovenska;ženske;35-44;1749
2010;Osrednjeslovenska;moški;45-54;1851
2010;Osrednjeslovenska;ženske;45-54;1761
2010;Osrednjeslovenska;moški;55-64;2137
2010;Osrednjeslovenska;ženske;55-64;2242
2010;Osrednjeslovenska;moški;65 ali več;4394
2010;Osrednjeslovenska;ženske;65 ali več;3207
2010;Podravska;moški;15-24;952
2010;Podravska;ženske;15-24;918
2010;Podravska;moški;25-34;1279
2010;Podravska;ženske;25-34;1234
2010;Podravska;moški;35-44;1509
2010;Podravska;ženske;35-44;1407
2010;Podravska;moški;45-54;1524
2010;Podravska;ženske;45-54;1505
2010;Podravska;moški;55-64;1782
2010;Podravska;ženske;55-64;1891
2010;Podravska;moški;65 ali več;4331
2010;Podravska;ženske;65 ali več;3487
2010;Pomurska;moški;15-24;938
2010;Pomurska;ženske;15-24;902
2010;Pomurska;moški;25-34;1211
2010;Pomurska;ženske;25-34;1180
2010;Pomurska;moški;35-44;1380
2010;Pomurska;ženske;35-44;1291
2010;Pomurska;moški;45-54;1437
2010;Pomurska;ženske;45-54;1425
2010;Pomurska;moški;55-64;1614
2010;Pomurska;ženske;55-64;1922
2010;Pomurska;moški;65 ali več;3302
2010;Posavska;moški;15-24;992
2010;Posavska;ženske;15-24;926
2010;Posavska;moški;25-34;1278
2010;Posavska;ženske;25-34;1270
2010;Posavska;moški;35-44;1456
2010;Posavska;ženske;35-44;1368
2010;Posavska;moški;45-54;1548
2010;Posavska;ženske;45-54;1461
2010;Posavska;moški;55-64;1812
2010;Posavska;ženske;55-64;1890
2010;Primorsko-notranjska;moški;15-24;946
2010;Primorsko-notranjska;ženske;15-24;950
2010;Primorsko-notranjska;moški;25-34;1273
2010;Primorsko-notranjska;ženske;25-34;1244
2010;Primorsko-notranjska;moški;35-44;1471
2010;Primorsko-notranjska;ženske;35-44;1353
2010;Primorsko-notranjska;moški;45-54;1481
2010;Primorsko-notranjska;ženske;45-54;1444
2010;Primorsko-notranjska;moški;55-64;1665
2010;Primorsko-notranjska;ženske;55-64;1718
2010;Primorsko-notranjska;moški;65 ali več;3543
2010;Savinjska;moški;15-24;969
2010;Savinjska;ženske;15-24;944
2010;Savinjska;moški;25-34;1297
2010;Savinjska;ženske;25-34;1217
2010;Savinjska;moški;35-44;1494
2010;Savinjska;ženske;35-44;1363
2010;Savinjska;moški;45-54;1578
2010;Savinjska;ženske;45-54;1443
2010;Savinjska;moški;55-64;1776
2010;Savinjska;ženske;55-64;1860
2010;Savinjska;moški;65 ali več;3901
2010;Zasavska;moški;15-24;986
2010;Zasavska;ženske;15-24;911
2010;Zasavska;moški;25-34;1302
2010;Zasavska;ženske;25-34;1277
2010;Zasavska;moški;35-44;1556
2010;Zasavska;ženske;35-44;1381
2010;Zasavska;moški;45-54;1591
2010;Zasavska;ženske;45-54;1435
2010;Zasavska;moški;55-64;1748
2010;Zasavska;ženske;55-64;1768
2011;Gorenjska;moški;15-24;1058
2011;Gorenjska;ženske;15-24;986
2011;Gorenjska;moški;25-34;1418
2011;Gorenjska;ženske;25-34;1305
2011;Gorenjska;moški;35-44;1728
2011;Gorenjska;ženske;35-44;1541
2011;Gorenjska;moški;45-54;1723
2011;Gorenjska;ženske;45-54;1555
2011;Gorenjska;moški;55-64;1858
2011;Gorenjska;ženske;55-64;1968
2011;Gorenjska;moški;65 ali več;3657
2011;Goriška;moški;15-24;1004
2011;Goriška;ženske;15-24;950
2011;Goriška;moški;25-34;1325
2011;Goriška;ženske;25-34;1273
2011;Goriška;moški;35-44;1633
2011;Goriška;ženske;35-44;1462
2011;Goriška;moški;45-54;1705
2011;Goriška;ženske;45-54;1547
2011;Goriška;moški;55-64;1952
2011;Goriška;ženske;55-64;1959
2011;Goriška;moški;65 ali več;4052
2011;Jugovzhodna Slovenija;moški;15-24;1049
2011;Jugovzhodna Slovenija;ženske;15-24;1069
2011;Jugovzhodna Slovenija;moški;25-34;1382
2011;Jugovzhodna Slovenija;ženske;25-34;1327
2011;Jugovzhodna Slovenija;moški;35-44;1563
2011;Jugovzhodna Slovenija;ženske;35-44;1516
2011;Jugovzhodna Slovenija;moški;45-54;1648
2011;Jugovzhodna Slovenija;ženske;45-54;1599
2011;Jugovzhodna Slovenija;moški;55-64;1798
2011;Jugovzhodna Slovenija;ženske;55-64;2101
2011;Jugovzhodna Slovenija;moški;65 ali več;4144
2011;Koroška;moški;15-24;1078
2011;Koroška;ženske;15-24;951
2011;Koroška;moški;25-34;1306
2011;Koroška;ženske;25-34;1194
2011;Koroška;moški;35-44;1536
2011;Koroška;ženske;35-44;1437
2011;Koroška;moški;45-54;1582
2011;Koroška;ženske;45-54;1523
2011;Koroška;moški;55-64;1786
2011;Koroška;ženske;55-64;1918
2011;Koroška;moški;65 ali več;3768
2011;Obalno-kraška;moški;15-24;1022
2011;Obalno-kraška;ženske;15-24;971
2011;Obalno-kraška;moški;25-34;1370
2011;Obalno-kraška;ženske;25-34;1310
2011;Obalno-kraška;moški;35-44;1719
2011;Obalno-kraška;ženske;35-44;1571
2011;Obalno-kraška;moški;45-54;1779
2011;Obalno-kraška;ženske;45-54;1618
2011;Obalno-kraška;moški;55-64;1923
2011;Obalno-kraška;ženske;55-64;1875
2011;Obalno-kraška;moški;65 ali več;3836
2011;Obalno-kraška;ženske;65 ali več;3535
2011;Osrednjeslovenska;moški;15-24;1044
2011;Osrednjeslovenska;ženske;15-24;1011
2011;Osrednjeslovenska;moški;25-34;1499
2011;Osrednjeslovenska;ženske;25-34;1436
2011;Osrednjeslovenska;moški;35-44;1907
2011;Osrednjeslovenska;ženske;35-44;1783
2011;Osrednjeslovenska;moški;45-54;1900
2011;Osrednjeslovenska;ženske;45-54;1804
2011;Osrednjeslovenska;moški;55-64;2164
2011;Osrednjeslovenska;ženske;55-64;2206
2011;Osrednjeslovenska;moški;65 ali več;4228
2011;Osrednjeslovenska;ženske;65 ali več;3048
2011;Podravska;moški;15-24;995
2011;Podravska;ženske;15-24;956
2011;Podravska;moški;25-34;1312
