LETO;STATISTICNA_REGIJA;SPOL;STAROST;PLACE
2012;Zasavska;ženske;15-24;997
2012;Zasavska;moški;25-34;1321
2012;Zasavska;ženske;25-34;1267
2012;Zasavska;moški;35-44;1620
2012;Zasavska;ženske;35-44;1454
2012;Zasavska;moški;45-54;1617
2012;Zasavska;ženske;45-54;1448
2012;Zasavska;moški;55-64;1884
2012;Zasavska;ženske;55-64;1840
2013;Gorenjska;moški;15-24;1088
2013;Gorenjska;ženske;15-24;979
2013;Gorenjska;moški;25-34;1414
2013;Gorenjska;ženske;25-34;1306
2013;Gorenjska;moški;35-44;1759
2013;Gorenjska;ženske;35-44;1553
2013;Gorenjska;moški;45-54;1754
2013;Gorenjska;ženske;45-54;1546
2013;Gorenjska;moški;55-64;1868
2013;Gorenjska;ženske;55-64;1848
2013;Gorenjska;moški;65 ali več;3842
2013;Goriška;moški;15-24;1026
2013;Goriška;ženske;15-24;927
2013;Goriška;moški;25-34;1340
2013;Goriška;ženske;25-34;1243
2013;Goriška;moški;35-44;1598
2013;Goriška;ženske;35-44;1449
2013;Goriška;moški;45-54;1659
2013;Goriška;ženske;45-54;1508
2013;Goriška;moški;55-64;1878
2013;Goriška;ženske;55-64;1838
2013;Goriška;moški;65 ali več;3692
2013;Jugovzhodna Slovenija;moški;15-24;1090
2013;Jugovzhodna Slovenija;ženske;15-24;1114
2013;Jugovzhodna Slovenija;moški;25-34;1393
2013;Jugovzhodna Slovenija;ženske;25-34;1340
2013;Jugovzhodna Slovenija;moški;35-44;1600
2013;Jugovzhodna Slovenija;ženske;35-44;1547
2013;Jugovzhodna Slovenija;moški;45-54;1686
2013;Jugovzhodna Slovenija;ženske;45-54;1578
2013;Jugovzhodna Slovenija;moški;55-64;1767
2013;Jugovzhodna Slovenija;ženske;55-64;2013
2013;Jugovzhodna Slovenija;moški;65 ali več;4304
2013;Koroška;moški;15-24;1090
2013;Koroška;ženske;15-24;910
2013;Koroška;moški;25-34;1325
2013;Koroška;ženske;25-34;1191
2013;Koroška;moški;35-44;1547
2013;Koroška;ženske;35-44;1435
2013;Koroška;moški;45-54;1615
2013;Koroška;ženske;45-54;1522
2013;Koroška;moški;55-64;1816
2013;Koroška;ženske;55-64;1859
2013;Koroška;moški;65 ali več;3651
2013;Obalno-kraška;moški;15-24;1036
2013;Obalno-kraška;ženske;15-24;982
2013;Obalno-kraška;moški;25-34;1362
2013;Obalno-kraška;ženske;25-34;1280
2013;Obalno-kraška;moški;35-44;1712
2013;Obalno-kraška;ženske;35-44;1584
2013;Obalno-kraška;moški;45-54;1812
2013;Obalno-kraška;ženske;45-54;1618
2013;Obalno-kraška;moški;55-64;1919
2013;Obalno-kraška;ženske;55-64;1798
2013;Obalno-kraška;moški;65 ali več;3564
2013;Obalno-kraška;ženske;65 ali več;3810
2013;Osrednjeslovenska;moški;15-24;1067
2013;Osrednjeslovenska;ženske;15-24;1012
2013;Osrednjeslovenska;moški;25-34;1489
2013;Osrednjeslovenska;ženske;25-34;1423
2013;Osrednjeslovenska;moški;35-44;1933
2013;Osrednjeslovenska;ženske;35-44;1796
2013;Osrednjeslovenska;moški;45-54;1938
2013;Osrednjeslovenska;ženske;45-54;1799
2013;Osrednjeslovenska;moški;55-64;2103
2013;Osrednjeslovenska;ženske;55-64;2097
2013;Osrednjeslovenska;moški;65 ali več;3885
2013;Osrednjeslovenska;ženske;65 ali več;3638
2013;Podravska;moški;15-24;1024
2013;Podravska;ženske;15-24;955
2013;Podravska;moški;25-34;1318
2013;Podravska;ženske;25-34;1256
2013;Podravska;moški;35-44;1601
2013;Podravska;ženske;35-44;1464
2013;Podravska;moški;45-54;1631
2013;Podravska;ženske;45-54;1517
2013;Podravska;moški;55-64;1800
2013;Podravska;ženske;55-64;1761
2013;Podravska;moški;65 ali več;3596
2013;Podravska;ženske;65 ali več;3760
2013;Pomurska;moški;15-24;1005
2013;Pomurska;ženske;15-24;926
2013;Pomurska;moški;25-34;1248
2013;Pomurska;ženske;25-34;1206
2013;Pomurska;moški;35-44;1451
2013;Pomurska;ženske;35-44;1331
2013;Pomurska;moški;45-54;1486
2013;Pomurska;ženske;45-54;1400
2013;Pomurska;moški;55-64;1626
2013;Pomurska;ženske;55-64;1687
2013;Posavska;moški;15-24;1091
2013;Posavska;ženske;15-24;1042
2013;Posavska;moški;25-34;1389
2013;Posavska;ženske;25-34;1303
2013;Posavska;moški;35-44;1534
2013;Posavska;ženske;35-44;1440
2013;Posavska;moški;45-54;1595
2013;Posavska;ženske;45-54;1480
2013;Posavska;moški;55-64;1840
2013;Posavska;ženske;55-64;1797
2013;Posavska;moški;65 ali več;4209
2013;Primorsko-notranjska;moški;15-24;1043
2013;Primorsko-notranjska;ženske;15-24;934
2013;Primorsko-notranjska;moški;25-34;1325
2013;Primorsko-notranjska;ženske;25-34;1265
2013;Primorsko-notranjska;moški;35-44;1554
2013;Primorsko-notranjska;ženske;35-44;1440
2013;Primorsko-notranjska;moški;45-54;1561
2013;Primorsko-notranjska;ženske;45-54;1489
2013;Primorsko-notranjska;moški;55-64;1729
2013;Primorsko-notranjska;ženske;55-64;1704
2013;Primorsko-notranjska;moški;65 ali več;4362
2013;Savinjska;moški;15-24;1094
2013;Savinjska;ženske;15-24;992
2013;Savinjska;moški;25-34;1330
2013;Savinjska;ženske;25-34;1254
2013;Savinjska;moški;35-44;1579
2013;Savinjska;ženske;35-44;1427
2013;Savinjska;moški;45-54;1651
2013;Savinjska;ženske;45-54;1465
2013;Savinjska;moški;55-64;1808
2013;Savinjska;ženske;55-64;1742
2013;Savinjska;moški;65 ali več;3941
2013;Savinjska;ženske;65 ali več;3691
2013;Zasavska;moški;15-24;1050
2013;Zasavska;ženske;15-24;1041
2013;Zasavska;moški;25-34;1330
2013;Zasavska;ženske;25-34;1263
2013;Zasavska;moški;35-44;1601
2013;Zasavska;ženske;35-44;1463
2013;Zasavska;moški;45-54;1596
2013;Zasavska;ženske;45-54;1438
2013;Zasavska;moški;55-64;1867
2013;Zasavska;ženske;55-64;1789
2014;Gorenjska;moški;15-24;1134
2014;Gorenjska;ženske;15-24;1004
2014;Gorenjska;moški;25-34;1438
2014;Gorenjska;ženske;25-34;1318
2014;Gorenjska;moški;35-44;1791
2014;Gorenjska;ženske;35-44;1586
2014;Gorenjska;moški;45-54;1822
2014;Gorenjska;ženske;45-54;1577
2014;Gorenjska;moški;55-64;1860
2014;Gorenjska;ženske;55-64;1840
2014;Gorenjska;moški;65 ali več;3341
2014;Goriška;moški;15-24;1045
2014;Goriška;ženske;15-24;928
2014;Goriška;moški;25-34;1354
2014;Goriška;ženske;25-34;1249
2014;Goriška;moški;35-44;1650
2014;Goriška;ženske;35-44;1492
2014;Goriška;moški;45-54;1697
2014;Goriška;ženske;45-54;1534
2014;Goriška;moški;55-64;1917
2014;Goriška;ženske;55-64;1809
2014;Goriška;moški;65 ali več;3321
2014;Jugovzhodna Slovenija;moški;15-24;1130
2014;Jugovzhodna Slovenija;ženske;15-24;1186
2014;Jugovzhodna Slovenija;moški;25-34;1447
2014;Jugovzhodna Slovenija;ženske;25-34;1378
2014;Jugovzhodna Slovenija;moški;35-44;1671
2014;Jugovzhodna Slovenija;ženske;35-44;1592
2014;Jugovzhodna Slovenija;moški;45-54;1728
2014;Jugovzhodna Slovenija;ženske;45-54;1635
2014;Jugovzhodna Slovenija;moški;55-64;1824
2014;Jugovzhodna Slovenija;ženske;55-64;1996
2014;Jugovzhodna Slovenija;moški;65 ali več;3736
2014;Koroška;moški;15-24;1138
2014;Koroška;ženske;15-24;878
2014;Koroška;moški;25-34;1359
2014;Koroška;ženske;25-34;1202
2014;Koroška;moški;35-44;1584
2014;Koroška;ženske;35-44;1443
2014;Koroška;moški;45-54;1666
2014;Koroška;ženske;45-54;1551
2014;Koroška;moški;55-64;1814
2014;Koroška;ženske;55-64;1818
2014;Koroška;moški;65 ali več;4235
2014;Obalno-kraška;moški;15-24;1084
2014;Obalno-kraška;ženske;15-24;992
2014;Obalno-kraška;moški;25-34;1382
2014;Obalno-kraška;ženske;25-34;1291
2014;Obalno-kraška;moški;35-44;1773
2014;Obalno-kraška;ženske;35-44;1603
2014;Obalno-kraška;moški;45-54;1854
2014;Obalno-kraška;ženske;45-54;1649
2014;Obalno-kraška;moški;55-64;1953
2014;Obalno-kraška;ženske;55-64;1827
2014;Obalno-kraška;moški;65 ali več;3448
2014;Obalno-kraška;ženske;65 ali več;4068
2014;Osrednjeslovenska;moški;15-24;1112
2014;Osrednjeslovenska;ženske;15-24;1006
2014;Osrednjeslovenska;moški;25-34;1506
2014;Osrednjeslovenska;ženske;25-34;1434
2014;Osrednjeslovenska;moški;35-44;1946
2014;Osrednjeslovenska;ženske;35-44;1828
2014;Osrednjeslovenska;moški;45-54;1964
2014;Osrednjeslovenska;ženske;45-54;1843
2014;Osrednjeslovenska;moški;55-64;2081
2014;Osrednjeslovenska;ženske;55-64;2089
2014;Osrednjeslovenska;moški;65 ali več;3665
2014;Osrednjeslovenska;ženske;65 ali več;3426
2014;Podravska;moški;15-24;1055
2014;Podravska;ženske;15-24;950
2014;Podravska;moški;25-34;1346
2014;Podravska;ženske;25-34;1263
2014;Podravska;moški;35-44;1624
2014;Podravska;ženske;35-44;1483
2014;Podravska;moški;45-54;1681
2014;Podravska;ženske;45-54;1545
2014;Podravska;moški;55-64;1787
2014;Podravska;ženske;55-64;1754
2014;Podravska;moški;65 ali več;3666
2014;Podravska;ženske;65 ali več;3379
2014;Pomurska;moški;15-24;1010
2014;Pomurska;ženske;15-24;948
2014;Pomurska;moški;25-34;1278
2014;Pomurska;ženske;25-34;1207
2014;Pomurska;moški;35-44;1514
2014;Pomurska;ženske;35-44;1390
2014;Pomurska;moški;45-54;1555
2014;Pomurska;ženske;45-54;1498
2014;Pomurska;moški;55-64;1674
2014;Pomurska;ženske;55-64;1735
2014;Pomurska;moški;65 ali več;3820
2014;Posavska;moški;15-24;1104
2014;Posavska;ženske;15-24;1143
2014;Posavska;moški;25-34;1432
2014;Posavska;ženske;25-34;1318
2014;Posavska;moški;35-44;1591
2014;Posavska;ženske;35-44;1482
2014;Posavska;moški;45-54;1640
2014;Posavska;ženske;45-54;1507
2014;Posavska;moški;55-64;1857
2014;Posavska;ženske;55-64;1803
2014;Posavska;moški;65 ali več;3793
2014;Primorsko-notranjska;moški;15-24;1042
2014;Primorsko-notranjska;ženske;15-24;979
2014;Primorsko-notranjska;moški;25-34;1355
2014;Primorsko-notranjska;ženske;25-34;1269
2014;Primorsko-notranjska;moški;35-44;1588
2014;Primorsko-notranjska;ženske;35-44;1476
2014;Primorsko-notranjska;moški;45-54;1619
2014;Primorsko-notranjska;ženske;45-54;1499
2014;Primorsko-notranjska;moški;55-64;1784
2014;Primorsko-notranjska;ženske;55-64;1702
2014;Primorsko-notranjska;moški;65 ali več;3388
2014;Savinjska;moški;15-24;1122
2014;Savinjska;ženske;15-24;995
2014;Savinjska;moški;25-34;1362
2014;Savinjska;ženske;25-34;1270
2014;Savinjska;moški;35-44;1629
2014;Savinjska;ženske;35-44;1464
2014;Savinjska;moški;45-54;1690
2014;Savinjska;ženske;45-54;1498
2014;Savinjska;moški;55-64;1823
2014;Savinjska;ženske;55-64;1713
2014;Savinjska;moški;65 ali več;3513
2014;Savinjska;ženske;65 ali več;3329
2014;Zasavska;moški;15-24;1041
2014;Zasavska;ženske;15-24;982
2014;Zasavska;moški;25-34;1370
2014;Zasavska;ženske;25-34;1281
2014;Zasavska;moški;35-44;1631
2014;Zasavska;ženske;35-44;1490
2014;Zasavska;moški;45-54;1615
2014;Zasavska;ženske;45-54;1463
2014;Zasavska;moški;55-64;1816
2014;Zasavska;ženske;55-64;1742
2015;Gorenjska;moški;15-24;1150
2015;Gorenjska;ženske;15-24;1003
2015;Gorenjska;moški;25-34;1446
2015;Gorenjska;ženske;25-34;1313
2015;Gorenjska;moški;35-44;1814
2015;Gorenjska;ženske;35-44;1586
2015;Gorenjska;moški;45-54;1853
2015;Gorenjska;ženske;45-54;1597
2015;Gorenjska;moški;55-64;1913
2015;Gorenjska;ženske;55-64;1792
2015;Gorenjska;moški;65 ali več;3360
2015;Gorenjska;ženske;65 ali več;3362
2015;Goriška;moški;25-34;1363
2015;Goriška;ženske;25-34;1241
2015;Goriška;moški;35-44;1646
2015;Goriška;ženske;35-44;1485
2015;Goriška;moški;45-54;1707
2015;Goriška;ženske;45-54;1524
2015;Goriška;moški;55-64;1909
2015;Goriška;ženske;55-64;1785
2015;Jugovzhodna Slovenija;moški;25-34;1472
2015;Jugovzhodna Slovenija;ženske;25-34;1393
2015;Jugovzhodna Slovenija;moški;35-44;1691
2015;Jugovzhodna Slovenija;ženske;35-44;1592
2015;Jugovzhodna Slovenija;moški;45-54;1732
2015;Jugovzhodna Slovenija;ženske;45-54;1647
2015;Jugovzhodna Slovenija;moški;55-64;1865
2015;Jugovzhodna Slovenija;ženske;55-64;1934
2015;Koroška;moški;25-34;1397
2015;Koroška;ženske;25-34;1232
2015;Koroška;moški;35-44;1622
2015;Koroška;ženske;35-44;1455
2015;Koroška;moški;45-54;1702
2015;Koroška;ženske;45-54;1553
2015;Koroška;moški;55-64;1857
2015;Koroška;ženske;55-64;1823
2015;Obalno-kraška;moški;15-24;1096
2015;Obalno-kraška;ženske;15-24;1009
2015;Obalno-kraška;moški;25-34;1380
2015;Obalno-kraška;ženske;25-34;1285
2015;Obalno-kraška;moški;35-44;1779
2015;Obalno-kraška;ženske;35-44;1615
2015;Obalno-kraška;moški;45-54;1867
2015;Obalno-kraška;ženske;45-54;1652
2015;Obalno-kraška;moški;55-64;1987
2015;Obalno-kraška;ženske;55-64;1824
2015;Obalno-kraška;moški;65 ali več;3333
2015;Obalno-kraška;ženske;65 ali več;3870
2015;Osrednjeslovenska;moški;15-24;1133
2015;Osrednjeslovenska;ženske;15-24;1027
2015;Osrednjeslovenska;moški;25-34;1511
2015;Osrednjeslovenska;ženske;25-34;1433
2015;Osrednjeslovenska;moški;35-44;1983
2015;Osrednjeslovenska;ženske;35-44;1840
2015;Osrednjeslovenska;moški;45-54;2004
2015;Osrednjeslovenska;ženske;45-54;1870
2015;Osrednjeslovenska;moški;55-64;2086
2015;Osrednjeslovenska;ženske;55-64;2070
2015;Osrednjeslovenska;moški;65 ali več;3636
2015;Osrednjeslovenska;ženske;65 ali več;3443
2015;Podravska;moški;15-24;1072
2015;Podravska;ženske;15-24;965
2015;Podravska;moški;25-34;1348
2015;Podravska;ženske;25-34;1246
2015;Podravska;moški;35-44;1634
2015;Podravska;ženske;35-44;1484
2015;Podravska;moški;45-54;1695
2015;Podravska;ženske;45-54;1539
2015;Podravska;moški;55-64;1799
2015;Podravska;ženske;55-64;1762
2015;Podravska;moški;65 ali več;3733
2015;Podravska;ženske;65 ali več;3381
2015;Pomurska;moški;25-34;1293
2015;Pomurska;ženske;25-34;1215
2015;Pomurska;moški;35-44;1520
2015;Pomurska;ženske;35-44;1400
2015;Pomurska;moški;45-54;1561
2015;Pomurska;ženske;45-54;1478
2015;Pomurska;moški;55-64;1655
2015;Pomurska;ženske;55-64;1702
2015;Posavska;moški;25-34;1446
2015;Posavska;ženske;25-34;1301
2015;Posavska;moški;35-44;1612
2015;Posavska;ženske;35-44;1486
2015;Posavska;moški;45-54;1656
2015;Posavska;ženske;45-54;1508
2015;Posavska;moški;55-64;1825
2015;Posavska;ženske;55-64;1743
2015;Primorsko-notranjska;moški;25-34;1379
2015;Primorsko-notranjska;ženske;25-34;1262
2015;Primorsko-notranjska;moški;35-44;1642
2015;Primorsko-notranjska;ženske;35-44;1489
2015;Primorsko-notranjska;moški;45-54;1635
2015;Primorsko-notranjska;ženske;45-54;1516
2015;Primorsko-notranjska;moški;55-64;1799
2015;Primorsko-notranjska;ženske;55-64;1671
2015;Savinjska;moški;15-24;1130
2015;Savinjska;ženske;15-24;952
2015;Savinjska;moški;25-34;1372
2015;Savinjska;ženske;25-34;1276
2015;Savinjska;moški;35-44;1644
2015;Savinjska;ženske;35-44;1479
2015;Savinjska;moški;45-54;1696
2015;Savinjska;ženske;45-54;1499
2015;Savinjska;moški;55-64;1848
2015;Savinjska;ženske;55-64;1718
2015;Savinjska;moški;65 ali več;3361
2015;Savinjska;ženske;65 ali več;2997
2015;Zasavska;moški;25-34;1367
2015;Zasavska;ženske;25-34;1289
2015;Zasavska;moški;35-44;1633
2015;Zasavska;ženske;35-44;1506
2015;Zasavska;moški;45-54;1629
2015;Zasavska;ženske;45-54;1492
2015;Zasavska;moški;55-64;1731
2015;Zasavska;ženske;55-64;1697
2016;Gorenjska;moški;15-24;1182
2016;Gorenjska;ženske;15-24;1026
2016;Gorenjska;moški;25-34;1468
2016;Gorenjska;ženske;25-34;1323
2016;Gorenjska;moški;35-44;1855
2016;Gorenjska;ženske;35-44;1630
2016;Gorenjska;moški;45-54;1920
2016;Gorenjska;ženske;45-54;1652
2016;Gorenjska;moški;55-64;1944
2016;Gorenjska;ženske;55-64;1832
2016;Gorenjska;moški;65 ali več;3683
2016;Gorenjska;ženske;65 ali več;3287
2016;Goriška;moški;25-34;1393
2016;Goriška;ženske;25-34;1278
2016;Goriška;moški;35-44;1687
2016;Goriška;ženske;35-44;1540
2016;Goriška;moški;45-54;1781
2016;Goriška;ženske;45-54;1572
2016;Goriška;moški;55-64;1917
2016;Goriška;ženske;55-64;1829
2016;Jugovzhodna Slovenija;moški;25-34;1484
2016;Jugovzhodna Slovenija;ženske;25-34;1405
2016;Jugovzhodna Slovenija;moški;35-44;1739
2016;Jugovzhodna Slovenija;ženske;35-44;1631
2016;Jugovzhodna Slovenija;moški;45-54;1761
2016;Jugovzhodna Slovenija;ženske;45-54;1668
2016;Jugovzhodna Slovenija;moški;55-64;1890
2016;Jugovzhodna Slovenija;ženske;55-64;1936
2016;Koroška;moški;25-34;1432
2016;Koroška;ženske;25-34;1256
2016;Koroška;moški;35-44;1659
2016;Koroška;ženske;35-44;1480
2016;Koroška;moški;45-54;1754
2016;Koroška;ženske;45-54;1574
2016;Koroška;moški;55-64;1897
2016;Koroška;ženske;55-64;1811
2016;Obalno-kraška;moški;15-24;1082
2016;Obalno-kraška;ženske;15-24;991
2016;Obalno-kraška;moški;25-34;1415
2016;Obalno-kraška;ženske;25-34;1295
2016;Obalno-kraška;moški;35-44;1814
2016;Obalno-kraška;ženske;35-44;1620
2016;Obalno-kraška;moški;45-54;1934
2016;Obalno-kraška;ženske;45-54;1712
2016;Obalno-kraška;moški;55-64;2002
2016;Obalno-kraška;ženske;55-64;1841
2016;Obalno-kraška;moški;65 ali več;3141
2016;Obalno-kraška;ženske;65 ali več;2904
2016;Osrednjeslovenska;moški;15-24;1149
2016;Osrednjeslovenska;ženske;15-24;1051
2016;Osrednjeslovenska;moški;25-34;1526
2016;Osrednjeslovenska;ženske;25-34;1433
2016;Osrednjeslovenska;moški;35-44;1994
2016;Osrednjeslovenska;ženske;35-44;1859
2016;Osrednjeslovenska;moški;45-54;2053
2016;Osrednjeslovenska;ženske;45-54;1923
2016;Osrednjeslovenska;moški;55-64;2100
2016;Osrednjeslovenska;ženske;55-64;2085
2016;Osrednjeslovenska;moški;65 ali več;3637
2016;Osrednjeslovenska;ženske;65 ali več;3437
2016;Podravska;moški;15-24;1113
2016;Podravska;ženske;15-24;966
2016;Podravska;moški;25-34;1371
2016;Podravska;ženske;25-34;1276
2016;Podravska;moški;35-44;1666
2016;Podravska;ženske;35-44;1517
2016;Podravska;moški;45-54;1739
2016;Podravska;ženske;45-54;1564
2016;Podravska;moški;55-64;1794
2016;Podravska;ženske;55-64;1747
2016;Podravska;moški;65 ali več;3670
2016;Podravska;ženske;65 ali več;3312
2016;Pomurska;moški;25-34;1326
2016;Pomurska;ženske;25-34;1225
2016;Pomurska;moški;35-44;1570
2016;Pomurska;ženske;35-44;1400
2016;Pomurska;moški;45-54;1609
2016;Pomurska;ženske;45-54;1436
2016;Pomurska;moški;55-64;1709
2016;Pomurska;ženske;55-64;1714
2016;Posavska;moški;25-34;1497
2016;Posavska;ženske;25-34;1321
2016;Posavska;moški;35-44;1650
2016;Posavska;ženske;35-44;1519
2016;Posavska;moški;45-54;1705
2016;Posavska;ženske;45-54;1546
2016;Posavska;moški;55-64;1875
2016;Posavska;ženske;55-64;1753
2016;Primorsko-notranjska;moški;25-34;1395
2016;Primorsko-notranjska;ženske;25-34;1288
2016;Primorsko-notranjska;moški;35-44;1664
2016;Primorsko-notranjska;ženske;35-44;1530
2016;Primorsko-notranjska;moški;45-54;1699
2016;Primorsko-notranjska;ženske;45-54;1543
2016;Primorsko-notranjska;moški;55-64;1781
2016;Primorsko-notranjska;ženske;55-64;1739
2016;Savinjska;moški;15-24;1122
2016;Savinjska;ženske;15-24;993
2016;Savinjska;moški;25-34;1388
2016;Savinjska;ženske;25-34;1293
2016;Savinjska;moški;35-44;1663
2016;Savinjska;ženske;35-44;1517
2016;Savinjska;moški;45-54;1724
2016;Savinjska;ženske;45-54;1530
2016;Savinjska;moški;55-64;1858
2016;Savinjska;ženske;55-64;1725
2016;Savinjska;moški;65 ali več;3177
2016;Savinjska;ženske;65 ali več;3237
2016;Zasavska;moški;25-34;1403
2016;Zasavska;ženske;25-34;1289
2016;Zasavska;moški;35-44;1642
2016;Zasavska;ženske;35-44;1550
2016;Zasavska;moški;45-54;1680
2016;Zasavska;ženske;45-54;1535
2016;Zasavska;moški;55-64;1771
2016;Zasavska;ženske;55-64;1709
2017;Gorenjska;moški;15-24;1211
2017;Gorenjska;ženske;15-24;1080
2017;Gorenjska;moški;25-34;1513
2017;Gorenjska;ženske;25-34;1360
2017;Gorenjska;moški;35-44;1872
2017;Gorenjska;ženske;35-44;1657
2017;Gorenjska;moški;45-54;1966
2017;Gorenjska;ženske;45-54;1704
2017;Gorenjska;moški;55-64;1963
2017;Gorenjska;ženske;55-64;1829
2017;Gorenjska;moški;65 ali več;3629
2017;Gorenjska;ženske;65 ali več;3363
2017;Goriška;moški;15-24;1142
2017;Goriška;ženske;15-24;1056
2017;Goriška;moški;25-34;1424
2017;Goriška;ženske;25-34;1309
2017;Goriška;moški;35-44;1714
2017;Goriška;ženske;35-44;1553
2017;Goriška;moški;45-54;1810
2017;Goriška;ženske;45-54;1612
2017;Goriška;moški;55-64;1926
2017;Goriška;ženske;55-64;1803
2017;Goriška;moški;65 ali več;3130
2017;Goriška;ženske;65 ali več;2290
2017;Jugovzhodna Slovenija;moški;15-24;1206
2017;Jugovzhodna Slovenija;ženske;15-24;1110
2017;Jugovzhodna Slovenija;moški;25-34;1508
2017;Jugovzhodna Slovenija;ženske;25-34;1413
2017;Jugovzhodna Slovenija;moški;35-44;1777
2017;Jugovzhodna Slovenija;ženske;35-44;1654
2017;Jugovzhodna Slovenija;moški;45-54;1804
2017;Jugovzhodna Slovenija;ženske;45-54;1694
2017;Jugovzhodna Slovenija;moški;55-64;1897
2017;Jugovzhodna Slovenija;ženske;55-64;1904
2017;Jugovzhodna Slovenija;moški;65 ali več;3176
2017;Jugovzhodna Slovenija;ženske;65 ali več;3782
2017;Koroška;moški;15-24;1273
2017;Koroška;ženske;15-24;1028
2017;Koroška;moški;25-34;1496
2017;Koroška;ženske;25-34;1267
2017;Koroška;moški;35-44;1732
2017;Koroška;ženske;35-44;1512
2017;Koroška;moški;45-54;1798
2017;Koroška;ženske;45-54;1621
2017;Koroška;moški;55-64;1925
2017;Koroška;ženske;55-64;1830
2017;Koroška;moški;65 ali več;3692
2017;Koroška;ženske;65 ali več;3438
2017;Obalno-kraška;moški;15-24;1167
2017;Obalno-kraška;ženske;15-24;1043
2017;Obalno-kraška;moški;25-34;1465
2017;Obalno-kraška;ženske;25-34;1323
2017;Obalno-kraška;moški;35-44;1825
2017;Obalno-kraška;ženske;35-44;1638
2017;Obalno-kraška;moški;45-54;1959
2017;Obalno-kraška;ženske;45-54;1733
2017;Obalno-kraška;moški;55-64;1999
2017;Obalno-kraška;ženske;55-64;1854
2017;Obalno-kraška;moški;65 ali več;3075
2017;Obalno-kraška;ženske;65 ali več;2916
2017;Osrednjeslovenska;moški;15-24;1165
2017;Osrednjeslovenska;ženske;15-24;1078
2017;Osrednjeslovenska;moški;25-34;1554
2017;Osrednjeslovenska;ženske;25-34;1468
2017;Osrednjeslovenska;moški;35-44;1995
2017;Osrednjeslovenska;ženske;35-44;1890
2017;Osrednjeslovenska;moški;45-54;2091
2017;Osrednjeslovenska;ženske;45-54;1969
2017;Osrednjeslovenska;moški;55-64;2125
2017;Osrednjeslovenska;ženske;55-64;2090
2017;Osrednjeslovenska;moški;65 ali več;3386
2017;Osrednjeslovenska;ženske;65 ali več;3407
2017;Podravska;moški;15-24;1143
2017;Podravska;ženske;15-24;1027
2017;Podravska;moški;25-34;1419
2017;Podravska;ženske;25-34;1295
2017;Podravska;moški;35-44;1718
2017;Podravska;ženske;35-44;1556
2017;Podravska;moški;45-54;1795
2017;Podravska;ženske;45-54;1611
2017;Podravska;moški;55-64;1846
2017;Podravska;ženske;55-64;1774
2017;Podravska;moški;65 ali več;3496
2017;Podravska;ženske;65 ali več;3074
2017;Pomurska;moški;25-34;1359
2017;Pomurska;ženske;25-34;1245
2017;Pomurska;moški;35-44;1620
2017;Pomurska;ženske;35-44;1441
2017;Pomurska;moški;45-54;1632
2017;Pomurska;ženske;45-54;1464
2017;Pomurska;moški;55-64;1746
2017;Pomurska;ženske;55-64;1714
2017;Posavska;moški;25-34;1524
2017;Posavska;ženske;25-34;1352
2017;Posavska;moški;35-44;1705
2017;Posavska;ženske;35-44;1527
2017;Posavska;moški;45-54;1748
2017;Posavska;ženske;45-54;1591
2017;Posavska;moški;55-64;1901
2017;Posavska;ženske;55-64;1760
2017;Primorsko-notranjska;moški;25-34;1435
2017;Primorsko-notranjska;ženske;25-34;1328
2017;Primorsko-notranjska;moški;35-44;1702
2017;Primorsko-notranjska;ženske;35-44;1571
2017;Primorsko-notranjska;moški;45-54;1751
2017;Primorsko-notranjska;ženske;45-54;1568
2017;Primorsko-notranjska;moški;55-64;1792
2017;Primorsko-notranjska;ženske;55-64;1783
2017;Savinjska;moški;15-24;1168
2017;Savinjska;ženske;15-24;1016
2017;Savinjska;moški;25-34;1435
2017;Savinjska;ženske;25-34;1306
2017;Savinjska;moški;35-44;1708
2017;Savinjska;ženske;35-44;1547
2017;Savinjska;moški;45-54;1782
2017;Savinjska;ženske;45-54;1573
2017;Savinjska;moški;55-64;1893
2017;Savinjska;ženske;55-64;1736
2017;Savinjska;moški;65 ali več;2816
2017;Savinjska;ženske;65 ali več;2942
2017;Zasavska;moški;25-34;1452
2017;Zasavska;ženske;25-34;1302
2017;Zasavska;moški;35-44;1696
2017;Zasavska;ženske;35-44;1567
2017;Zasavska;moški;45-54;1739
2017;Zasavska;ženske;45-54;1572
2017;Zasavska;moški;55-64;1780
2017;Zasavska;ženske;55-64;1715
2018;Gorenjska;moški;15-24;1265
2018;Gorenjska;ženske;15-24;1112
2018;Gorenjska;moški;25-34;1592
2018;Gorenjska;ženske;25-34;1418
2018;Gorenjska;moški;35-44;1948
2018;Gorenjska;ženske;35-44;1707
2018;Gorenjska;moški;45-54;2060
2018;Gorenjska;ženske;45-54;1755
2018;Gorenjska;moški;55-64;1994
2018;Gorenjska;ženske;55-64;1871
2018;Gorenjska;moški;65 ali več;2983
2018;Gorenjska;ženske;65 ali več;2763
2018;Goriška;moški;15-24;1173
2018;Goriška;ženske;15-24;1106
2018;Goriška;moški;25-34;1476
2018;Goriška;ženske;25-34;1357
2018;Goriška;moški;35-44;1776
2018;Goriška;ženske;35-44;1588
2018;Goriška;moški;45-54;1864
2018;Goriška;ženske;45-54;1664
2018;Goriška;moški;55-64;1965
2018;Goriška;ženske;55-64;1827
2018;Goriška;moški;65 ali več;3083
