"";"Leto";"Regija";"Starost";"Spol";"Placa"
"463";2011;"Posavska";"55-64 let";"Moški";1901
"464";2011;"Posavska";"55-64 let";"Ženske";1879
"465";2011;"Posavska";"65 let ali veè";"Moški";3877
"466";2011;"Jugovzhodna Slovenija";"15-24 let";"Moški";1049
"467";2011;"Jugovzhodna Slovenija";"15-24 let";"Ženske";1069
"468";2011;"Jugovzhodna Slovenija";"25-34 let";"Moški";1382
"469";2011;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1327
"470";2011;"Jugovzhodna Slovenija";"35-44 let";"Moški";1563
"471";2011;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1516
"472";2011;"Jugovzhodna Slovenija";"45-54 let";"Moški";1648
"473";2011;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1599
"474";2011;"Jugovzhodna Slovenija";"55-64 let";"Moški";1798
"475";2011;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2101
"476";2011;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";4144
"477";2011;"Osrednjeslovenska";"15-24 let";"Moški";1044
"478";2011;"Osrednjeslovenska";"15-24 let";"Ženske";1011
"479";2011;"Osrednjeslovenska";"25-34 let";"Moški";1499
"480";2011;"Osrednjeslovenska";"25-34 let";"Ženske";1436
"481";2011;"Osrednjeslovenska";"35-44 let";"Moški";1907
"482";2011;"Osrednjeslovenska";"35-44 let";"Ženske";1783
"483";2011;"Osrednjeslovenska";"45-54 let";"Moški";1900
"484";2011;"Osrednjeslovenska";"45-54 let";"Ženske";1804
"485";2011;"Osrednjeslovenska";"55-64 let";"Moški";2164
"486";2011;"Osrednjeslovenska";"55-64 let";"Ženske";2206
"487";2011;"Osrednjeslovenska";"65 let ali veè";"Moški";4228
"488";2011;"Osrednjeslovenska";"65 let ali veè";"Ženske";3048
"489";2011;"Gorenjska";"15-24 let";"Moški";1058
"490";2011;"Gorenjska";"15-24 let";"Ženske";986
"491";2011;"Gorenjska";"25-34 let";"Moški";1418
"492";2011;"Gorenjska";"25-34 let";"Ženske";1305
"493";2011;"Gorenjska";"35-44 let";"Moški";1728
"494";2011;"Gorenjska";"35-44 let";"Ženske";1541
"495";2011;"Gorenjska";"45-54 let";"Moški";1723
"496";2011;"Gorenjska";"45-54 let";"Ženske";1555
"497";2011;"Gorenjska";"55-64 let";"Moški";1858
"498";2011;"Gorenjska";"55-64 let";"Ženske";1968
"499";2011;"Gorenjska";"65 let ali veè";"Moški";3657
"500";2011;"Primorsko-notranjska";"15-24 let";"Moški";996
"501";2011;"Primorsko-notranjska";"15-24 let";"Ženske";986
"502";2011;"Primorsko-notranjska";"25-34 let";"Moški";1306
"503";2011;"Primorsko-notranjska";"25-34 let";"Ženske";1286
"504";2011;"Primorsko-notranjska";"35-44 let";"Moški";1517
"505";2011;"Primorsko-notranjska";"35-44 let";"Ženske";1394
"506";2011;"Primorsko-notranjska";"45-54 let";"Moški";1549
"507";2011;"Primorsko-notranjska";"45-54 let";"Ženske";1480
"508";2011;"Primorsko-notranjska";"55-64 let";"Moški";1751
"509";2011;"Primorsko-notranjska";"55-64 let";"Ženske";1768
"510";2011;"Primorsko-notranjska";"65 let ali veè";"Moški";3152
"511";2011;"Goriška";"15-24 let";"Moški";1004
"512";2011;"Goriška";"15-24 let";"Ženske";950
"513";2011;"Goriška";"25-34 let";"Moški";1325
"514";2011;"Goriška";"25-34 let";"Ženske";1273
"515";2011;"Goriška";"35-44 let";"Moški";1633
"516";2011;"Goriška";"35-44 let";"Ženske";1462
"517";2011;"Goriška";"45-54 let";"Moški";1705
"518";2011;"Goriška";"45-54 let";"Ženske";1547
"519";2011;"Goriška";"55-64 let";"Moški";1952
"520";2011;"Goriška";"55-64 let";"Ženske";1959
"521";2011;"Goriška";"65 let ali veè";"Moški";4052
"522";2011;"Obalno-kraška";"15-24 let";"Moški";1022
"523";2011;"Obalno-kraška";"15-24 let";"Ženske";971
"524";2011;"Obalno-kraška";"25-34 let";"Moški";1370
"525";2011;"Obalno-kraška";"25-34 let";"Ženske";1310
"526";2011;"Obalno-kraška";"35-44 let";"Moški";1719
"527";2011;"Obalno-kraška";"35-44 let";"Ženske";1571
"528";2011;"Obalno-kraška";"45-54 let";"Moški";1779
"529";2011;"Obalno-kraška";"45-54 let";"Ženske";1618
"530";2011;"Obalno-kraška";"55-64 let";"Moški";1923
"531";2011;"Obalno-kraška";"55-64 let";"Ženske";1875
"532";2011;"Obalno-kraška";"65 let ali veè";"Moški";3836
"533";2011;"Obalno-kraška";"65 let ali veè";"Ženske";3535
"534";2012;"Pomurska";"15-24 let";"Moški";996
"535";2012;"Pomurska";"15-24 let";"Ženske";938
"536";2012;"Pomurska";"25-34 let";"Moški";1264
"537";2012;"Pomurska";"25-34 let";"Ženske";1226
"538";2012;"Pomurska";"35-44 let";"Moški";1454
"539";2012;"Pomurska";"35-44 let";"Ženske";1352
"540";2012;"Pomurska";"45-54 let";"Moški";1510
"541";2012;"Pomurska";"45-54 let";"Ženske";1426
"542";2012;"Pomurska";"55-64 let";"Moški";1653
"543";2012;"Pomurska";"55-64 let";"Ženske";1779
"544";2012;"Podravska";"15-24 let";"Moški";1009
"545";2012;"Podravska";"15-24 let";"Ženske";959
"546";2012;"Podravska";"25-34 let";"Moški";1323
"547";2012;"Podravska";"25-34 let";"Ženske";1272
"548";2012;"Podravska";"35-44 let";"Moški";1600
"549";2012;"Podravska";"35-44 let";"Ženske";1461
"550";2012;"Podravska";"45-54 let";"Moški";1622
"551";2012;"Podravska";"45-54 let";"Ženske";1528
"552";2012;"Podravska";"55-64 let";"Moški";1821
"553";2012;"Podravska";"55-64 let";"Ženske";1879
"554";2012;"Podravska";"65 let ali veè";"Moški";3976
"555";2012;"Podravska";"65 let ali veè";"Ženske";4028
"556";2012;"Koroška";"15-24 let";"Moški";1077
"557";2012;"Koroška";"15-24 let";"Ženske";980
"558";2012;"Koroška";"25-34 let";"Moški";1316
"559";2012;"Koroška";"25-34 let";"Ženske";1204
"560";2012;"Koroška";"35-44 let";"Moški";1540
"561";2012;"Koroška";"35-44 let";"Ženske";1424
"562";2012;"Koroška";"45-54 let";"Moški";1614
"563";2012;"Koroška";"45-54 let";"Ženske";1541
"564";2012;"Koroška";"55-64 let";"Moški";1813
"565";2012;"Koroška";"55-64 let";"Ženske";1949
"566";2012;"Koroška";"65 let ali veè";"Moški";3753
"567";2012;"Savinjska";"15-24 let";"Moški";1081
"568";2012;"Savinjska";"15-24 let";"Ženske";1019
"569";2012;"Savinjska";"25-34 let";"Moški";1339
"570";2012;"Savinjska";"25-34 let";"Ženske";1258
"571";2012;"Savinjska";"35-44 let";"Moški";1585
"572";2012;"Savinjska";"35-44 let";"Ženske";1420
"573";2012;"Savinjska";"45-54 let";"Moški";1651
"574";2012;"Savinjska";"45-54 let";"Ženske";1475
"575";2012;"Savinjska";"55-64 let";"Moški";1819
"576";2012;"Savinjska";"55-64 let";"Ženske";1823
"577";2012;"Savinjska";"65 let ali veè";"Moški";3741
"578";2012;"Zasavska";"15-24 let";"Moški";1020
"579";2012;"Zasavska";"15-24 let";"Ženske";997
"580";2012;"Zasavska";"25-34 let";"Moški";1321
"581";2012;"Zasavska";"25-34 let";"Ženske";1267
"582";2012;"Zasavska";"35-44 let";"Moški";1620
"583";2012;"Zasavska";"35-44 let";"Ženske";1454
"584";2012;"Zasavska";"45-54 let";"Moški";1617
"585";2012;"Zasavska";"45-54 let";"Ženske";1448
"586";2012;"Zasavska";"55-64 let";"Moški";1884
"587";2012;"Zasavska";"55-64 let";"Ženske";1840
"588";2012;"Posavska";"15-24 let";"Moški";1101
"589";2012;"Posavska";"15-24 let";"Ženske";1005
"590";2012;"Posavska";"25-34 let";"Moški";1371
"591";2012;"Posavska";"25-34 let";"Ženske";1291
"592";2012;"Posavska";"35-44 let";"Moški";1555
"593";2012;"Posavska";"35-44 let";"Ženske";1438
"594";2012;"Posavska";"45-54 let";"Moški";1620
"595";2012;"Posavska";"45-54 let";"Ženske";1496
"596";2012;"Posavska";"55-64 let";"Moški";1927
"597";2012;"Posavska";"55-64 let";"Ženske";1862
"598";2012;"Posavska";"65 let ali veè";"Moški";3714
"599";2012;"Jugovzhodna Slovenija";"15-24 let";"Moški";1071
"600";2012;"Jugovzhodna Slovenija";"15-24 let";"Ženske";1063
"601";2012;"Jugovzhodna Slovenija";"25-34 let";"Moški";1400
"602";2012;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1333
"603";2012;"Jugovzhodna Slovenija";"35-44 let";"Moški";1597
"604";2012;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1554
"605";2012;"Jugovzhodna Slovenija";"45-54 let";"Moški";1703
"606";2012;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1614
"607";2012;"Jugovzhodna Slovenija";"55-64 let";"Moški";1808
"608";2012;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2140
"609";2012;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";3888
"610";2012;"Osrednjeslovenska";"15-24 let";"Moški";1051
"611";2012;"Osrednjeslovenska";"15-24 let";"Ženske";1005
"612";2012;"Osrednjeslovenska";"25-34 let";"Moški";1507
"613";2012;"Osrednjeslovenska";"25-34 let";"Ženske";1436
"614";2012;"Osrednjeslovenska";"35-44 let";"Moški";1948
"615";2012;"Osrednjeslovenska";"35-44 let";"Ženske";1804
"616";2012;"Osrednjeslovenska";"45-54 let";"Moški";1929
"617";2012;"Osrednjeslovenska";"45-54 let";"Ženske";1815
"618";2012;"Osrednjeslovenska";"55-64 let";"Moški";2167
"619";2012;"Osrednjeslovenska";"55-64 let";"Ženske";2187
"620";2012;"Osrednjeslovenska";"65 let ali veè";"Moški";4108
"621";2012;"Osrednjeslovenska";"65 let ali veè";"Ženske";3612
"622";2012;"Gorenjska";"15-24 let";"Moški";1067
"623";2012;"Gorenjska";"15-24 let";"Ženske";993
"624";2012;"Gorenjska";"25-34 let";"Moški";1427
"625";2012;"Gorenjska";"25-34 let";"Ženske";1326
"626";2012;"Gorenjska";"35-44 let";"Moški";1766
"627";2012;"Gorenjska";"35-44 let";"Ženske";1565
"628";2012;"Gorenjska";"45-54 let";"Moški";1748
"629";2012;"Gorenjska";"45-54 let";"Ženske";1558
"630";2012;"Gorenjska";"55-64 let";"Moški";1896
"631";2012;"Gorenjska";"55-64 let";"Ženske";1964
"632";2012;"Gorenjska";"65 let ali veè";"Moški";4267
"633";2012;"Primorsko-notranjska";"15-24 let";"Moški";1043
"634";2012;"Primorsko-notranjska";"15-24 let";"Ženske";1016
"635";2012;"Primorsko-notranjska";"25-34 let";"Moški";1317
"636";2012;"Primorsko-notranjska";"25-34 let";"Ženske";1281
"637";2012;"Primorsko-notranjska";"35-44 let";"Moški";1557
"638";2012;"Primorsko-notranjska";"35-44 let";"Ženske";1435
"639";2012;"Primorsko-notranjska";"45-54 let";"Moški";1585
"640";2012;"Primorsko-notranjska";"45-54 let";"Ženske";1492
"641";2012;"Primorsko-notranjska";"55-64 let";"Moški";1744
"642";2012;"Primorsko-notranjska";"55-64 let";"Ženske";1787
"643";2012;"Primorsko-notranjska";"65 let ali veè";"Moški";3877
"644";2012;"Goriška";"15-24 let";"Moški";1029
"645";2012;"Goriška";"15-24 let";"Ženske";955
"646";2012;"Goriška";"25-34 let";"Moški";1335
"647";2012;"Goriška";"25-34 let";"Ženske";1258
"648";2012;"Goriška";"35-44 let";"Moški";1626
"649";2012;"Goriška";"35-44 let";"Ženske";1463
"650";2012;"Goriška";"45-54 let";"Moški";1686
"651";2012;"Goriška";"45-54 let";"Ženske";1544
"652";2012;"Goriška";"55-64 let";"Moški";1964
"653";2012;"Goriška";"55-64 let";"Ženske";1943
"654";2012;"Goriška";"65 let ali veè";"Moški";4096
"655";2012;"Obalno-kraška";"15-24 let";"Moški";1028
"656";2012;"Obalno-kraška";"15-24 let";"Ženske";987
"657";2012;"Obalno-kraška";"25-34 let";"Moški";1388
"658";2012;"Obalno-kraška";"25-34 let";"Ženske";1307
"659";2012;"Obalno-kraška";"35-44 let";"Moški";1743
"660";2012;"Obalno-kraška";"35-44 let";"Ženske";1576
"661";2012;"Obalno-kraška";"45-54 let";"Moški";1792
"662";2012;"Obalno-kraška";"45-54 let";"Ženske";1611
"663";2012;"Obalno-kraška";"55-64 let";"Moški";1968
"664";2012;"Obalno-kraška";"55-64 let";"Ženske";1868
"665";2012;"Obalno-kraška";"65 let ali veè";"Moški";3602
"666";2012;"Obalno-kraška";"65 let ali veè";"Ženske";3123
"667";2013;"Pomurska";"15-24 let";"Moški";1005
"668";2013;"Pomurska";"15-24 let";"Ženske";926
"669";2013;"Pomurska";"25-34 let";"Moški";1248
"670";2013;"Pomurska";"25-34 let";"Ženske";1206
"671";2013;"Pomurska";"35-44 let";"Moški";1451
"672";2013;"Pomurska";"35-44 let";"Ženske";1331
"673";2013;"Pomurska";"45-54 let";"Moški";1486
"674";2013;"Pomurska";"45-54 let";"Ženske";1400
"675";2013;"Pomurska";"55-64 let";"Moški";1626
"676";2013;"Pomurska";"55-64 let";"Ženske";1687
"677";2013;"Podravska";"15-24 let";"Moški";1024
"678";2013;"Podravska";"15-24 let";"Ženske";955
"679";2013;"Podravska";"25-34 let";"Moški";1318
"680";2013;"Podravska";"25-34 let";"Ženske";1256
"681";2013;"Podravska";"35-44 let";"Moški";1601
"682";2013;"Podravska";"35-44 let";"Ženske";1464
"683";2013;"Podravska";"45-54 let";"Moški";1631
"684";2013;"Podravska";"45-54 let";"Ženske";1517
"685";2013;"Podravska";"55-64 let";"Moški";1800
"686";2013;"Podravska";"55-64 let";"Ženske";1761
"687";2013;"Podravska";"65 let ali veè";"Moški";3596
"688";2013;"Podravska";"65 let ali veè";"Ženske";3760
"689";2013;"Koroška";"15-24 let";"Moški";1090
"690";2013;"Koroška";"15-24 let";"Ženske";910
"691";2013;"Koroška";"25-34 let";"Moški";1325
"692";2013;"Koroška";"25-34 let";"Ženske";1191
"693";2013;"Koroška";"35-44 let";"Moški";1547
"694";2013;"Koroška";"35-44 let";"Ženske";1435
"695";2013;"Koroška";"45-54 let";"Moški";1615
"696";2013;"Koroška";"45-54 let";"Ženske";1522
"697";2013;"Koroška";"55-64 let";"Moški";1816
"698";2013;"Koroška";"55-64 let";"Ženske";1859
"699";2013;"Koroška";"65 let ali veè";"Moški";3651
"700";2013;"Savinjska";"15-24 let";"Moški";1094
"701";2013;"Savinjska";"15-24 let";"Ženske";992
"702";2013;"Savinjska";"25-34 let";"Moški";1330
"703";2013;"Savinjska";"25-34 let";"Ženske";1254
"704";2013;"Savinjska";"35-44 let";"Moški";1579
"705";2013;"Savinjska";"35-44 let";"Ženske";1427
"706";2013;"Savinjska";"45-54 let";"Moški";1651
"707";2013;"Savinjska";"45-54 let";"Ženske";1465
"708";2013;"Savinjska";"55-64 let";"Moški";1808
"709";2013;"Savinjska";"55-64 let";"Ženske";1742
"710";2013;"Savinjska";"65 let ali veè";"Moški";3941
"711";2013;"Savinjska";"65 let ali veè";"Ženske";3691
"712";2013;"Zasavska";"15-24 let";"Moški";1050
"713";2013;"Zasavska";"15-24 let";"Ženske";1041
"714";2013;"Zasavska";"25-34 let";"Moški";1330
"715";2013;"Zasavska";"25-34 let";"Ženske";1263
"716";2013;"Zasavska";"35-44 let";"Moški";1601
"717";2013;"Zasavska";"35-44 let";"Ženske";1463
"718";2013;"Zasavska";"45-54 let";"Moški";1596
"719";2013;"Zasavska";"45-54 let";"Ženske";1438
"720";2013;"Zasavska";"55-64 let";"Moški";1867
"721";2013;"Zasavska";"55-64 let";"Ženske";1789
"722";2013;"Posavska";"15-24 let";"Moški";1091
"723";2013;"Posavska";"15-24 let";"Ženske";1042
"724";2013;"Posavska";"25-34 let";"Moški";1389
"725";2013;"Posavska";"25-34 let";"Ženske";1303
"726";2013;"Posavska";"35-44 let";"Moški";1534
"727";2013;"Posavska";"35-44 let";"Ženske";1440
"728";2013;"Posavska";"45-54 let";"Moški";1595
"729";2013;"Posavska";"45-54 let";"Ženske";1480
"730";2013;"Posavska";"55-64 let";"Moški";1840
"731";2013;"Posavska";"55-64 let";"Ženske";1797
"732";2013;"Posavska";"65 let ali veè";"Moški";4209
"733";2013;"Jugovzhodna Slovenija";"15-24 let";"Moški";1090
"734";2013;"Jugovzhodna Slovenija";"15-24 let";"Ženske";1114
"735";2013;"Jugovzhodna Slovenija";"25-34 let";"Moški";1393
"736";2013;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1340
"737";2013;"Jugovzhodna Slovenija";"35-44 let";"Moški";1600
"738";2013;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1547
"739";2013;"Jugovzhodna Slovenija";"45-54 let";"Moški";1686
"740";2013;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1578
"741";2013;"Jugovzhodna Slovenija";"55-64 let";"Moški";1767
"742";2013;"Jugovzhodna Slovenija";"55-64 let";"Ženske";2013
"743";2013;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";4304
"744";2013;"Osrednjeslovenska";"15-24 let";"Moški";1067
"745";2013;"Osrednjeslovenska";"15-24 let";"Ženske";1012
"746";2013;"Osrednjeslovenska";"25-34 let";"Moški";1489
"747";2013;"Osrednjeslovenska";"25-34 let";"Ženske";1423
"748";2013;"Osrednjeslovenska";"35-44 let";"Moški";1933
"749";2013;"Osrednjeslovenska";"35-44 let";"Ženske";1796
"750";2013;"Osrednjeslovenska";"45-54 let";"Moški";1938
"751";2013;"Osrednjeslovenska";"45-54 let";"Ženske";1799
"752";2013;"Osrednjeslovenska";"55-64 let";"Moški";2103
"753";2013;"Osrednjeslovenska";"55-64 let";"Ženske";2097
"754";2013;"Osrednjeslovenska";"65 let ali veè";"Moški";3885
"755";2013;"Osrednjeslovenska";"65 let ali veè";"Ženske";3638
"756";2013;"Gorenjska";"15-24 let";"Moški";1088
"757";2013;"Gorenjska";"15-24 let";"Ženske";979
"758";2013;"Gorenjska";"25-34 let";"Moški";1414
"759";2013;"Gorenjska";"25-34 let";"Ženske";1306
"760";2013;"Gorenjska";"35-44 let";"Moški";1759
"761";2013;"Gorenjska";"35-44 let";"Ženske";1553
"762";2013;"Gorenjska";"45-54 let";"Moški";1754
"763";2013;"Gorenjska";"45-54 let";"Ženske";1546
"764";2013;"Gorenjska";"55-64 let";"Moški";1868
"765";2013;"Gorenjska";"55-64 let";"Ženske";1848
"766";2013;"Gorenjska";"65 let ali veè";"Moški";3842
"767";2013;"Primorsko-notranjska";"15-24 let";"Moški";1043
"768";2013;"Primorsko-notranjska";"15-24 let";"Ženske";934
"769";2013;"Primorsko-notranjska";"25-34 let";"Moški";1325
"770";2013;"Primorsko-notranjska";"25-34 let";"Ženske";1265
"771";2013;"Primorsko-notranjska";"35-44 let";"Moški";1554
"772";2013;"Primorsko-notranjska";"35-44 let";"Ženske";1440
"773";2013;"Primorsko-notranjska";"45-54 let";"Moški";1561
"774";2013;"Primorsko-notranjska";"45-54 let";"Ženske";1489
"775";2013;"Primorsko-notranjska";"55-64 let";"Moški";1729
"776";2013;"Primorsko-notranjska";"55-64 let";"Ženske";1704
"777";2013;"Primorsko-notranjska";"65 let ali veè";"Moški";4362
"778";2013;"Goriška";"15-24 let";"Moški";1026
"779";2013;"Goriška";"15-24 let";"Ženske";927
"780";2013;"Goriška";"25-34 let";"Moški";1340
"781";2013;"Goriška";"25-34 let";"Ženske";1243
"782";2013;"Goriška";"35-44 let";"Moški";1598
"783";2013;"Goriška";"35-44 let";"Ženske";1449
"784";2013;"Goriška";"45-54 let";"Moški";1659
"785";2013;"Goriška";"45-54 let";"Ženske";1508
"786";2013;"Goriška";"55-64 let";"Moški";1878
"787";2013;"Goriška";"55-64 let";"Ženske";1838
"788";2013;"Goriška";"65 let ali veè";"Moški";3692
"789";2013;"Obalno-kraška";"15-24 let";"Moški";1036
"790";2013;"Obalno-kraška";"15-24 let";"Ženske";982
"791";2013;"Obalno-kraška";"25-34 let";"Moški";1362
"792";2013;"Obalno-kraška";"25-34 let";"Ženske";1280
"793";2013;"Obalno-kraška";"35-44 let";"Moški";1712
"794";2013;"Obalno-kraška";"35-44 let";"Ženske";1584
"795";2013;"Obalno-kraška";"45-54 let";"Moški";1812
"796";2013;"Obalno-kraška";"45-54 let";"Ženske";1618
"797";2013;"Obalno-kraška";"55-64 let";"Moški";1919
"798";2013;"Obalno-kraška";"55-64 let";"Ženske";1798
"799";2013;"Obalno-kraška";"65 let ali veè";"Moški";3564
"800";2013;"Obalno-kraška";"65 let ali veè";"Ženske";3810
"801";2014;"Pomurska";"15-24 let";"Moški";1010
"802";2014;"Pomurska";"15-24 let";"Ženske";948
"803";2014;"Pomurska";"25-34 let";"Moški";1278
"804";2014;"Pomurska";"25-34 let";"Ženske";1207
"805";2014;"Pomurska";"35-44 let";"Moški";1514
"806";2014;"Pomurska";"35-44 let";"Ženske";1390
"807";2014;"Pomurska";"45-54 let";"Moški";1555
"808";2014;"Pomurska";"45-54 let";"Ženske";1498
"809";2014;"Pomurska";"55-64 let";"Moški";1674
"810";2014;"Pomurska";"55-64 let";"Ženske";1735
"811";2014;"Pomurska";"65 let ali veè";"Moški";3820
"812";2014;"Podravska";"15-24 let";"Moški";1055
"813";2014;"Podravska";"15-24 let";"Ženske";950
"814";2014;"Podravska";"25-34 let";"Moški";1346
"815";2014;"Podravska";"25-34 let";"Ženske";1263
"816";2014;"Podravska";"35-44 let";"Moški";1624
"817";2014;"Podravska";"35-44 let";"Ženske";1483
"818";2014;"Podravska";"45-54 let";"Moški";1681
"819";2014;"Podravska";"45-54 let";"Ženske";1545
"820";2014;"Podravska";"55-64 let";"Moški";1787
"821";2014;"Podravska";"55-64 let";"Ženske";1754
"822";2014;"Podravska";"65 let ali veè";"Moški";3666
"823";2014;"Podravska";"65 let ali veè";"Ženske";3379
"824";2014;"Koroška";"15-24 let";"Moški";1138
"825";2014;"Koroška";"15-24 let";"Ženske";878
"826";2014;"Koroška";"25-34 let";"Moški";1359
"827";2014;"Koroška";"25-34 let";"Ženske";1202
"828";2014;"Koroška";"35-44 let";"Moški";1584
"829";2014;"Koroška";"35-44 let";"Ženske";1443
"830";2014;"Koroška";"45-54 let";"Moški";1666
"831";2014;"Koroška";"45-54 let";"Ženske";1551
"832";2014;"Koroška";"55-64 let";"Moški";1814
"833";2014;"Koroška";"55-64 let";"Ženske";1818
"834";2014;"Koroška";"65 let ali veè";"Moški";4235
"835";2014;"Savinjska";"15-24 let";"Moški";1122
"836";2014;"Savinjska";"15-24 let";"Ženske";995
"837";2014;"Savinjska";"25-34 let";"Moški";1362
"838";2014;"Savinjska";"25-34 let";"Ženske";1270
"839";2014;"Savinjska";"35-44 let";"Moški";1629
"840";2014;"Savinjska";"35-44 let";"Ženske";1464
"841";2014;"Savinjska";"45-54 let";"Moški";1690
"842";2014;"Savinjska";"45-54 let";"Ženske";1498
"843";2014;"Savinjska";"55-64 let";"Moški";1823
"844";2014;"Savinjska";"55-64 let";"Ženske";1713
"845";2014;"Savinjska";"65 let ali veè";"Moški";3513
"846";2014;"Savinjska";"65 let ali veè";"Ženske";3329
"847";2014;"Zasavska";"15-24 let";"Moški";1041
"848";2014;"Zasavska";"15-24 let";"Ženske";982
"849";2014;"Zasavska";"25-34 let";"Moški";1370
"850";2014;"Zasavska";"25-34 let";"Ženske";1281
"851";2014;"Zasavska";"35-44 let";"Moški";1631
"852";2014;"Zasavska";"35-44 let";"Ženske";1490
"853";2014;"Zasavska";"45-54 let";"Moški";1615
"854";2014;"Zasavska";"45-54 let";"Ženske";1463
"855";2014;"Zasavska";"55-64 let";"Moški";1816
"856";2014;"Zasavska";"55-64 let";"Ženske";1742
"857";2014;"Posavska";"15-24 let";"Moški";1104
"858";2014;"Posavska";"15-24 let";"Ženske";1143
"859";2014;"Posavska";"25-34 let";"Moški";1432
"860";2014;"Posavska";"25-34 let";"Ženske";1318
"861";2014;"Posavska";"35-44 let";"Moški";1591
"862";2014;"Posavska";"35-44 let";"Ženske";1482
"863";2014;"Posavska";"45-54 let";"Moški";1640
"864";2014;"Posavska";"45-54 let";"Ženske";1507
"865";2014;"Posavska";"55-64 let";"Moški";1857
"866";2014;"Posavska";"55-64 let";"Ženske";1803
"867";2014;"Posavska";"65 let ali veè";"Moški";3793
"868";2014;"Jugovzhodna Slovenija";"15-24 let";"Moški";1130
"869";2014;"Jugovzhodna Slovenija";"15-24 let";"Ženske";1186
"870";2014;"Jugovzhodna Slovenija";"25-34 let";"Moški";1447
"871";2014;"Jugovzhodna Slovenija";"25-34 let";"Ženske";1378
"872";2014;"Jugovzhodna Slovenija";"35-44 let";"Moški";1671
"873";2014;"Jugovzhodna Slovenija";"35-44 let";"Ženske";1592
"874";2014;"Jugovzhodna Slovenija";"45-54 let";"Moški";1728
"875";2014;"Jugovzhodna Slovenija";"45-54 let";"Ženske";1635
"876";2014;"Jugovzhodna Slovenija";"55-64 let";"Moški";1824
"877";2014;"Jugovzhodna Slovenija";"55-64 let";"Ženske";1996
"878";2014;"Jugovzhodna Slovenija";"65 let ali veè";"Moški";3736
"879";2014;"Osrednjeslovenska";"15-24 let";"Moški";1112
"880";2014;"Osrednjeslovenska";"15-24 let";"Ženske";1006
"881";2014;"Osrednjeslovenska";"25-34 let";"Moški";1506
"882";2014;"Osrednjeslovenska";"25-34 let";"Ženske";1434
"883";2014;"Osrednjeslovenska";"35-44 let";"Moški";1946
"884";2014;"Osrednjeslovenska";"35-44 let";"Ženske";1828
"885";2014;"Osrednjeslovenska";"45-54 let";"Moški";1964
"886";2014;"Osrednjeslovenska";"45-54 let";"Ženske";1843
"887";2014;"Osrednjeslovenska";"55-64 let";"Moški";2081
"888";2014;"Osrednjeslovenska";"55-64 let";"Ženske";2089
"889";2014;"Osrednjeslovenska";"65 let ali veè";"Moški";3665
"890";2014;"Osrednjeslovenska";"65 let ali veè";"Ženske";3426
"891";2014;"Gorenjska";"15-24 let";"Moški";1134
"892";2014;"Gorenjska";"15-24 let";"Ženske";1004
"893";2014;"Gorenjska";"25-34 let";"Moški";1438
"894";2014;"Gorenjska";"25-34 let";"Ženske";1318
"895";2014;"Gorenjska";"35-44 let";"Moški";1791
"896";2014;"Gorenjska";"35-44 let";"Ženske";1586
"897";2014;"Gorenjska";"45-54 let";"Moški";1822
"898";2014;"Gorenjska";"45-54 let";"Ženske";1577
"899";2014;"Gorenjska";"55-64 let";"Moški";1860
"900";2014;"Gorenjska";"55-64 let";"Ženske";1840
"901";2014;"Gorenjska";"65 let ali veè";"Moški";3341
"902";2014;"Primorsko-notranjska";"15-24 let";"Moški";1042
"903";2014;"Primorsko-notranjska";"15-24 let";"Ženske";979
"904";2014;"Primorsko-notranjska";"25-34 let";"Moški";1355
"905";2014;"Primorsko-notranjska";"25-34 let";"Ženske";1269
"906";2014;"Primorsko-notranjska";"35-44 let";"Moški";1588
"907";2014;"Primorsko-notranjska";"35-44 let";"Ženske";1476
"908";2014;"Primorsko-notranjska";"45-54 let";"Moški";1619
"909";2014;"Primorsko-notranjska";"45-54 let";"Ženske";1499
"910";2014;"Primorsko-notranjska";"55-64 let";"Moški";1784
"911";2014;"Primorsko-notranjska";"55-64 let";"Ženske";1702
"912";2014;"Primorsko-notranjska";"65 let ali veè";"Moški";3388
"913";2014;"Goriška";"15-24 let";"Moški";1045
"914";2014;"Goriška";"15-24 let";"Ženske";928
"915";2014;"Goriška";"25-34 let";"Moški";1354
"916";2014;"Goriška";"25-34 let";"Ženske";1249
"917";2014;"Goriška";"35-44 let";"Moški";1650
"918";2014;"Goriška";"35-44 let";"Ženske";1492
"919";2014;"Goriška";"45-54 let";"Moški";1697
"920";2014;"Goriška";"45-54 let";"Ženske";1534
"921";2014;"Goriška";"55-64 let";"Moški";1917
