"";"LETO";"STATISTICNA_REGIJA";"SPOL";"STAROST";"PLACE"
"489";2017;"Pomurska";"Skupaj";"45-54";1547
"490";2017;"Pomurska";"Skupaj";"55-64";1732
"491";2018;"Pomurska";"Skupaj";"Skupaj";1573
"492";2018;"Pomurska";"Skupaj";"15-64";1569
"493";2018;"Pomurska";"Skupaj";"15-24";1144
"494";2018;"Pomurska";"Skupaj";"25-34";1371
"495";2018;"Pomurska";"Skupaj";"35-44";1598
"496";2018;"Pomurska";"Skupaj";"45-54";1596
"497";2018;"Pomurska";"Skupaj";"55-64";1756
"498";2019;"Pomurska";"Skupaj";"Skupaj";1667
"499";2019;"Pomurska";"Skupaj";"15-64";1661
"500";2019;"Pomurska";"Skupaj";"15-24";1184
"501";2019;"Pomurska";"Skupaj";"25-34";1468
"502";2019;"Pomurska";"Skupaj";"35-44";1675
"503";2019;"Pomurska";"Skupaj";"45-54";1718
"504";2019;"Pomurska";"Skupaj";"55-64";1829
"505";2008;"Podravska";"moški";"Skupaj";1388
"506";2008;"Podravska";"moški";"15-64";1382
"507";2008;"Podravska";"moški";"15-24";900
"508";2008;"Podravska";"moški";"25-34";1229
"509";2008;"Podravska";"moški";"35-44";1425
"510";2008;"Podravska";"moški";"45-54";1446
"511";2008;"Podravska";"moški";"55-64";1675
"512";2009;"Podravska";"moški";"Skupaj";1410
"513";2009;"Podravska";"moški";"15-64";1403
"514";2009;"Podravska";"moški";"15-24";893
"515";2009;"Podravska";"moški";"25-34";1239
"516";2009;"Podravska";"moški";"35-44";1445
"517";2009;"Podravska";"moški";"45-54";1474
"518";2009;"Podravska";"moški";"55-64";1696
"519";2010;"Podravska";"moški";"Skupaj";1469
"520";2010;"Podravska";"moški";"15-64";1464
"521";2010;"Podravska";"moški";"15-24";952
"522";2010;"Podravska";"moški";"25-34";1279
"523";2010;"Podravska";"moški";"35-44";1509
"524";2010;"Podravska";"moški";"45-54";1524
"525";2010;"Podravska";"moški";"55-64";1782
"526";2011;"Podravska";"moški";"Skupaj";1526
"527";2011;"Podravska";"moški";"15-64";1521
"528";2011;"Podravska";"moški";"15-24";995
"529";2011;"Podravska";"moški";"25-34";1312
"530";2011;"Podravska";"moški";"35-44";1568
"531";2011;"Podravska";"moški";"45-54";1593
"532";2011;"Podravska";"moški";"55-64";1830
"533";2012;"Podravska";"moški";"Skupaj";1551
"534";2012;"Podravska";"moški";"15-64";1546
"535";2012;"Podravska";"moški";"15-24";1009
"536";2012;"Podravska";"moški";"25-34";1323
"537";2012;"Podravska";"moški";"35-44";1600
"538";2012;"Podravska";"moški";"45-54";1622
"539";2012;"Podravska";"moški";"55-64";1821
"540";2013;"Podravska";"moški";"Skupaj";1558
"541";2013;"Podravska";"moški";"15-64";1553
"542";2013;"Podravska";"moški";"15-24";1024
"543";2013;"Podravska";"moški";"25-34";1318
"544";2013;"Podravska";"moški";"35-44";1601
"545";2013;"Podravska";"moški";"45-54";1631
"546";2013;"Podravska";"moški";"55-64";1800
"547";2014;"Podravska";"moški";"Skupaj";1593
"548";2014;"Podravska";"moški";"15-64";1588
"549";2014;"Podravska";"moški";"15-24";1055
"550";2014;"Podravska";"moški";"25-34";1346
"551";2014;"Podravska";"moški";"35-44";1624
"552";2014;"Podravska";"moški";"45-54";1681
"553";2014;"Podravska";"moški";"55-64";1787
"554";2015;"Podravska";"moški";"Skupaj";1604
"555";2015;"Podravska";"moški";"15-64";1599
"556";2015;"Podravska";"moški";"15-24";1072
"557";2015;"Podravska";"moški";"25-34";1348
"558";2015;"Podravska";"moški";"35-44";1634
"559";2015;"Podravska";"moški";"45-54";1695
"560";2015;"Podravska";"moški";"55-64";1799
"561";2016;"Podravska";"moški";"Skupaj";1637
"562";2016;"Podravska";"moški";"15-64";1630
"563";2016;"Podravska";"moški";"15-24";1113
"564";2016;"Podravska";"moški";"25-34";1371
"565";2016;"Podravska";"moški";"35-44";1666
"566";2016;"Podravska";"moški";"45-54";1739
"567";2016;"Podravska";"moški";"55-64";1794
"568";2017;"Podravska";"moški";"Skupaj";1691
"569";2017;"Podravska";"moški";"15-64";1684
"570";2017;"Podravska";"moški";"15-24";1143
"571";2017;"Podravska";"moški";"25-34";1419
"572";2017;"Podravska";"moški";"35-44";1718
"573";2017;"Podravska";"moški";"45-54";1795
"574";2017;"Podravska";"moški";"55-64";1846
"575";2018;"Podravska";"moški";"Skupaj";1764
"576";2018;"Podravska";"moški";"15-64";1756
"577";2018;"Podravska";"moški";"15-24";1216
"578";2018;"Podravska";"moški";"25-34";1508
"579";2018;"Podravska";"moški";"35-44";1787
"580";2018;"Podravska";"moški";"45-54";1870
"581";2018;"Podravska";"moški";"55-64";1890
"582";2019;"Podravska";"moški";"Skupaj";1834
"583";2019;"Podravska";"moški";"15-64";1826
"584";2019;"Podravska";"moški";"15-24";1288
"585";2019;"Podravska";"moški";"25-34";1580
"586";2019;"Podravska";"moški";"35-44";1861
"587";2019;"Podravska";"moški";"45-54";1950
"588";2019;"Podravska";"moški";"55-64";1960
"589";2008;"Podravska";"ženske";"Skupaj";1293
"590";2008;"Podravska";"ženske";"15-64";1292
"591";2008;"Podravska";"ženske";"15-24";808
"592";2008;"Podravska";"ženske";"25-34";1136
"593";2008;"Podravska";"ženske";"35-44";1280
"594";2008;"Podravska";"ženske";"45-54";1367
"595";2008;"Podravska";"ženske";"55-64";1743
"596";2009;"Podravska";"ženske";"Skupaj";1376
"597";2009;"Podravska";"ženske";"15-64";1374
"598";2009;"Podravska";"ženske";"15-24";860
"599";2009;"Podravska";"ženske";"25-34";1187
"600";2009;"Podravska";"ženske";"35-44";1356
"601";2009;"Podravska";"ženske";"45-54";1457
"602";2009;"Podravska";"ženske";"55-64";1844
"603";2010;"Podravska";"ženske";"Skupaj";1426
"604";2010;"Podravska";"ženske";"15-64";1425
"605";2010;"Podravska";"ženske";"15-24";918
"606";2010;"Podravska";"ženske";"25-34";1234
"607";2010;"Podravska";"ženske";"35-44";1407
"608";2010;"Podravska";"ženske";"45-54";1505
"609";2010;"Podravska";"ženske";"55-64";1891
"610";2011;"Podravska";"ženske";"Skupaj";1456
"611";2011;"Podravska";"ženske";"15-64";1455
"612";2011;"Podravska";"ženske";"15-24";956
"613";2011;"Podravska";"ženske";"25-34";1258
"614";2011;"Podravska";"ženske";"35-44";1441
"615";2011;"Podravska";"ženske";"45-54";1511
"616";2011;"Podravska";"ženske";"55-64";1891
"617";2012;"Podravska";"ženske";"Skupaj";1475
"618";2012;"Podravska";"ženske";"15-64";1473
"619";2012;"Podravska";"ženske";"15-24";959
"620";2012;"Podravska";"ženske";"25-34";1272
"621";2012;"Podravska";"ženske";"35-44";1461
"622";2012;"Podravska";"ženske";"45-54";1528
"623";2012;"Podravska";"ženske";"55-64";1879
"624";2013;"Podravska";"ženske";"Skupaj";1470
"625";2013;"Podravska";"ženske";"15-64";1468
"626";2013;"Podravska";"ženske";"15-24";955
"627";2013;"Podravska";"ženske";"25-34";1256
"628";2013;"Podravska";"ženske";"35-44";1464
"629";2013;"Podravska";"ženske";"45-54";1517
"630";2013;"Podravska";"ženske";"55-64";1761
"631";2014;"Podravska";"ženske";"Skupaj";1497
"632";2014;"Podravska";"ženske";"15-64";1495
"633";2014;"Podravska";"ženske";"15-24";950
"634";2014;"Podravska";"ženske";"25-34";1263
"635";2014;"Podravska";"ženske";"35-44";1483
"636";2014;"Podravska";"ženske";"45-54";1545
"637";2014;"Podravska";"ženske";"55-64";1754
"638";2015;"Podravska";"ženske";"Skupaj";1502
"639";2015;"Podravska";"ženske";"15-64";1499
"640";2015;"Podravska";"ženske";"15-24";965
"641";2015;"Podravska";"ženske";"25-34";1246
"642";2015;"Podravska";"ženske";"35-44";1484
"643";2015;"Podravska";"ženske";"45-54";1539
"644";2015;"Podravska";"ženske";"55-64";1762
"645";2016;"Podravska";"ženske";"Skupaj";1531
"646";2016;"Podravska";"ženske";"15-64";1529
"647";2016;"Podravska";"ženske";"15-24";966
"648";2016;"Podravska";"ženske";"25-34";1276
"649";2016;"Podravska";"ženske";"35-44";1517
"650";2016;"Podravska";"ženske";"45-54";1564
"651";2016;"Podravska";"ženske";"55-64";1747
"652";2017;"Podravska";"ženske";"Skupaj";1571
"653";2017;"Podravska";"ženske";"15-64";1569
"654";2017;"Podravska";"ženske";"15-24";1027
"655";2017;"Podravska";"ženske";"25-34";1295
"656";2017;"Podravska";"ženske";"35-44";1556
"657";2017;"Podravska";"ženske";"45-54";1611
"658";2017;"Podravska";"ženske";"55-64";1774
"659";2018;"Podravska";"ženske";"Skupaj";1607
"660";2018;"Podravska";"ženske";"15-64";1604
"661";2018;"Podravska";"ženske";"15-24";1058
"662";2018;"Podravska";"ženske";"25-34";1346
"663";2018;"Podravska";"ženske";"35-44";1588
"664";2018;"Podravska";"ženske";"45-54";1653
"665";2018;"Podravska";"ženske";"55-64";1788
"666";2019;"Podravska";"ženske";"Skupaj";1691
"667";2019;"Podravska";"ženske";"15-64";1688
"668";2019;"Podravska";"ženske";"15-24";1122
"669";2019;"Podravska";"ženske";"25-34";1402
"670";2019;"Podravska";"ženske";"35-44";1666
"671";2019;"Podravska";"ženske";"45-54";1756
"672";2019;"Podravska";"ženske";"55-64";1872
"673";2008;"Podravska";"Skupaj";"Skupaj";1346
"674";2008;"Podravska";"Skupaj";"15-64";1343
"675";2008;"Podravska";"Skupaj";"15-24";878
"676";2008;"Podravska";"Skupaj";"25-34";1190
"677";2008;"Podravska";"Skupaj";"35-44";1356
"678";2008;"Podravska";"Skupaj";"45-54";1408
"679";2008;"Podravska";"Skupaj";"55-64";1695
"680";2009;"Podravska";"Skupaj";"Skupaj";1395
"681";2009;"Podravska";"Skupaj";"15-64";1390
"682";2009;"Podravska";"Skupaj";"15-24";885
"683";2009;"Podravska";"Skupaj";"25-34";1217
"684";2009;"Podravska";"Skupaj";"35-44";1403
"685";2009;"Podravska";"Skupaj";"45-54";1466
"686";2009;"Podravska";"Skupaj";"55-64";1742
"687";2010;"Podravska";"Skupaj";"Skupaj";1450
"688";2010;"Podravska";"Skupaj";"15-64";1446
"689";2010;"Podravska";"Skupaj";"15-24";944
"690";2010;"Podravska";"Skupaj";"25-34";1260
"691";2010;"Podravska";"Skupaj";"35-44";1460
"692";2010;"Podravska";"Skupaj";"45-54";1515
"693";2010;"Podravska";"Skupaj";"55-64";1817
"694";2011;"Podravska";"Skupaj";"Skupaj";1493
"695";2011;"Podravska";"Skupaj";"15-64";1490
"696";2011;"Podravska";"Skupaj";"15-24";984
"697";2011;"Podravska";"Skupaj";"25-34";1289
"698";2011;"Podravska";"Skupaj";"35-44";1505
"699";2011;"Podravska";"Skupaj";"45-54";1550
"700";2011;"Podravska";"Skupaj";"55-64";1852
"701";2012;"Podravska";"Skupaj";"Skupaj";1515
"702";2012;"Podravska";"Skupaj";"15-64";1512
"703";2012;"Podravska";"Skupaj";"15-24";997
"704";2012;"Podravska";"Skupaj";"25-34";1302
"705";2012;"Podravska";"Skupaj";"35-44";1532
"706";2012;"Podravska";"Skupaj";"45-54";1573
"707";2012;"Podravska";"Skupaj";"55-64";1842
"708";2013;"Podravska";"Skupaj";"Skupaj";1516
"709";2013;"Podravska";"Skupaj";"15-64";1513
"710";2013;"Podravska";"Skupaj";"15-24";1008
"711";2013;"Podravska";"Skupaj";"25-34";1292
"712";2013;"Podravska";"Skupaj";"35-44";1533
"713";2013;"Podravska";"Skupaj";"45-54";1572
"714";2013;"Podravska";"Skupaj";"55-64";1785
"715";2014;"Podravska";"Skupaj";"Skupaj";1549
"716";2014;"Podravska";"Skupaj";"15-64";1545
"717";2014;"Podravska";"Skupaj";"15-24";1033
"718";2014;"Podravska";"Skupaj";"25-34";1313
"719";2014;"Podravska";"Skupaj";"35-44";1557
"720";2014;"Podravska";"Skupaj";"45-54";1611
"721";2014;"Podravska";"Skupaj";"55-64";1773
"722";2015;"Podravska";"Skupaj";"Skupaj";1557
"723";2015;"Podravska";"Skupaj";"15-64";1553
"724";2015;"Podravska";"Skupaj";"15-24";1051
"725";2015;"Podravska";"Skupaj";"25-34";1309
"726";2015;"Podravska";"Skupaj";"35-44";1562
"727";2015;"Podravska";"Skupaj";"45-54";1615
"728";2015;"Podravska";"Skupaj";"55-64";1783
"729";2016;"Podravska";"Skupaj";"Skupaj";1588
"730";2016;"Podravska";"Skupaj";"15-64";1583
"731";2016;"Podravska";"Skupaj";"15-24";1081
"732";2016;"Podravska";"Skupaj";"25-34";1335
"733";2016;"Podravska";"Skupaj";"35-44";1595
"734";2016;"Podravska";"Skupaj";"45-54";1649
"735";2016;"Podravska";"Skupaj";"55-64";1772
"736";2017;"Podravska";"Skupaj";"Skupaj";1636
"737";2017;"Podravska";"Skupaj";"15-64";1631
"738";2017;"Podravska";"Skupaj";"15-24";1116
"739";2017;"Podravska";"Skupaj";"25-34";1372
"740";2017;"Podravska";"Skupaj";"35-44";1642
"741";2017;"Podravska";"Skupaj";"45-54";1702
"742";2017;"Podravska";"Skupaj";"55-64";1812
"743";2018;"Podravska";"Skupaj";"Skupaj";1692
"744";2018;"Podravska";"Skupaj";"15-64";1686
"745";2018;"Podravska";"Skupaj";"15-24";1175
"746";2018;"Podravska";"Skupaj";"25-34";1445
"747";2018;"Podravska";"Skupaj";"35-44";1692
"748";2018;"Podravska";"Skupaj";"45-54";1761
"749";2018;"Podravska";"Skupaj";"55-64";1842
"750";2019;"Podravska";"Skupaj";"Skupaj";1769
"751";2019;"Podravska";"Skupaj";"15-64";1763
"752";2019;"Podravska";"Skupaj";"15-24";1245
"753";2019;"Podravska";"Skupaj";"25-34";1513
"754";2019;"Podravska";"Skupaj";"35-44";1770
"755";2019;"Podravska";"Skupaj";"45-54";1854
"756";2019;"Podravska";"Skupaj";"55-64";1918
"757";2008;"Koroška";"moški";"Skupaj";1370
"758";2008;"Koroška";"moški";"15-64";1368
"759";2008;"Koroška";"moški";"15-24";954
"760";2008;"Koroška";"moški";"25-34";1220
"761";2008;"Koroška";"moški";"35-44";1395
"762";2008;"Koroška";"moški";"45-54";1466
"763";2008;"Koroška";"moški";"55-64";1687
"764";2009;"Koroška";"moški";"Skupaj";1369
"765";2009;"Koroška";"moški";"15-64";1367
"766";2009;"Koroška";"moški";"15-24";930
"767";2009;"Koroška";"moški";"25-34";1208
"768";2009;"Koroška";"moški";"35-44";1398
"769";2009;"Koroška";"moški";"45-54";1453
"770";2009;"Koroška";"moški";"55-64";1707
"771";2010;"Koroška";"moški";"Skupaj";1437
"772";2010;"Koroška";"moški";"15-64";1435
"773";2010;"Koroška";"moški";"15-24";1005
"774";2010;"Koroška";"moški";"25-34";1253
"775";2010;"Koroška";"moški";"35-44";1465
"776";2010;"Koroška";"moški";"45-54";1535
"777";2010;"Koroška";"moški";"55-64";1757
"778";2011;"Koroška";"moški";"Skupaj";1500
"779";2011;"Koroška";"moški";"15-64";1498
"780";2011;"Koroška";"moški";"15-24";1078
"781";2011;"Koroška";"moški";"25-34";1306
"782";2011;"Koroška";"moški";"35-44";1536
"783";2011;"Koroška";"moški";"45-54";1582
"784";2011;"Koroška";"moški";"55-64";1786
"785";2012;"Koroška";"moški";"Skupaj";1516
"786";2012;"Koroška";"moški";"15-64";1513
"787";2012;"Koroška";"moški";"15-24";1077
"788";2012;"Koroška";"moški";"25-34";1316
"789";2012;"Koroška";"moški";"35-44";1540
"790";2012;"Koroška";"moški";"45-54";1614
"791";2012;"Koroška";"moški";"55-64";1813
"792";2013;"Koroška";"moški";"Skupaj";1529
"793";2013;"Koroška";"moški";"15-64";1526
"794";2013;"Koroška";"moški";"15-24";1090
"795";2013;"Koroška";"moški";"25-34";1325
"796";2013;"Koroška";"moški";"35-44";1547
"797";2013;"Koroška";"moški";"45-54";1615
"798";2013;"Koroška";"moški";"55-64";1816
"799";2014;"Koroška";"moški";"Skupaj";1573
"800";2014;"Koroška";"moški";"15-64";1569
"801";2014;"Koroška";"moški";"15-24";1138
"802";2014;"Koroška";"moški";"25-34";1359
"803";2014;"Koroška";"moški";"35-44";1584
"804";2014;"Koroška";"moški";"45-54";1666
"805";2014;"Koroška";"moški";"55-64";1814
"806";2015;"Koroška";"moški";"Skupaj";1617
"807";2015;"Koroška";"moški";"15-64";NA
"808";2015;"Koroška";"moški";"15-24";NA
"809";2015;"Koroška";"moški";"25-34";1397
"810";2015;"Koroška";"moški";"35-44";1622
"811";2015;"Koroška";"moški";"45-54";1702
"812";2015;"Koroška";"moški";"55-64";1857
"813";2016;"Koroška";"moški";"Skupaj";1659
"814";2016;"Koroška";"moški";"15-64";NA
"815";2016;"Koroška";"moški";"15-24";NA
"816";2016;"Koroška";"moški";"25-34";1432
"817";2016;"Koroška";"moški";"35-44";1659
"818";2016;"Koroška";"moški";"45-54";1754
"819";2016;"Koroška";"moški";"55-64";1897
"820";2017;"Koroška";"moški";"Skupaj";1717
"821";2017;"Koroška";"moški";"15-64";1713
"822";2017;"Koroška";"moški";"15-24";1273
"823";2017;"Koroška";"moški";"25-34";1496
"824";2017;"Koroška";"moški";"35-44";1732
"825";2017;"Koroška";"moški";"45-54";1798
"826";2017;"Koroška";"moški";"55-64";1925
"827";2018;"Koroška";"moški";"Skupaj";1782
"828";2018;"Koroška";"moški";"15-64";1775
"829";2018;"Koroška";"moški";"15-24";1293
"830";2018;"Koroška";"moški";"25-34";1565
"831";2018;"Koroška";"moški";"35-44";1809
"832";2018;"Koroška";"moški";"45-54";1870
"833";2018;"Koroška";"moški";"55-64";1956
"834";2019;"Koroška";"moški";"Skupaj";1830
"835";2019;"Koroška";"moški";"15-64";1823
"836";2019;"Koroška";"moški";"15-24";1335
"837";2019;"Koroška";"moški";"25-34";1594
"838";2019;"Koroška";"moški";"35-44";1849
"839";2019;"Koroška";"moški";"45-54";1948
"840";2019;"Koroška";"moški";"55-64";2009
"841";2008;"Koroška";"ženske";"Skupaj";1252
"842";2008;"Koroška";"ženske";"15-64";1252
"843";2008;"Koroška";"ženske";"15-24";811
"844";2008;"Koroška";"ženske";"25-34";1088
"845";2008;"Koroška";"ženske";"35-44";1232
"846";2008;"Koroška";"ženske";"45-54";1359
"847";2008;"Koroška";"ženske";"55-64";1722
"848";2009;"Koroška";"ženske";"Skupaj";1319
"849";2009;"Koroška";"ženske";"15-64";1318
"850";2009;"Koroška";"ženske";"15-24";865
"851";2009;"Koroška";"ženske";"25-34";1105
"852";2009;"Koroška";"ženske";"35-44";1290
"853";2009;"Koroška";"ženske";"45-54";1433
"854";2009;"Koroška";"ženske";"55-64";1829
"855";2010;"Koroška";"ženske";"Skupaj";1419
"856";2010;"Koroška";"ženske";"15-64";1419
"857";2010;"Koroška";"ženske";"15-24";914
"858";2010;"Koroška";"ženske";"25-34";1183
"859";2010;"Koroška";"ženske";"35-44";1407
"860";2010;"Koroška";"ženske";"45-54";1512
"861";2010;"Koroška";"ženske";"55-64";1937
"862";2011;"Koroška";"ženske";"Skupaj";1443
"863";2011;"Koroška";"ženske";"15-64";1442
"864";2011;"Koroška";"ženske";"15-24";951
"865";2011;"Koroška";"ženske";"25-34";1194
"866";2011;"Koroška";"ženske";"35-44";1437
"867";2011;"Koroška";"ženske";"45-54";1523
"868";2011;"Koroška";"ženske";"55-64";1918
"869";2012;"Koroška";"ženske";"Skupaj";1456
"870";2012;"Koroška";"ženske";"15-64";1455
"871";2012;"Koroška";"ženske";"15-24";980
"872";2012;"Koroška";"ženske";"25-34";1204
"873";2012;"Koroška";"ženske";"35-44";1424
"874";2012;"Koroška";"ženske";"45-54";1541
"875";2012;"Koroška";"ženske";"55-64";1949
"876";2013;"Koroška";"ženske";"Skupaj";1456
"877";2013;"Koroška";"ženske";"15-64";1454
"878";2013;"Koroška";"ženske";"15-24";910
"879";2013;"Koroška";"ženske";"25-34";1191
"880";2013;"Koroška";"ženske";"35-44";1435
"881";2013;"Koroška";"ženske";"45-54";1522
"882";2013;"Koroška";"ženske";"55-64";1859
"883";2014;"Koroška";"ženske";"Skupaj";1482
"884";2014;"Koroška";"ženske";"15-64";1480
"885";2014;"Koroška";"ženske";"15-24";878
"886";2014;"Koroška";"ženske";"25-34";1202
"887";2014;"Koroška";"ženske";"35-44";1443
"888";2014;"Koroška";"ženske";"45-54";1551
"889";2014;"Koroška";"ženske";"55-64";1818
"890";2015;"Koroška";"ženske";"Skupaj";1501
"891";2015;"Koroška";"ženske";"15-64";NA
"892";2015;"Koroška";"ženske";"15-24";NA
"893";2015;"Koroška";"ženske";"25-34";1232
"894";2015;"Koroška";"ženske";"35-44";1455
"895";2015;"Koroška";"ženske";"45-54";1553
"896";2015;"Koroška";"ženske";"55-64";1823
"897";2016;"Koroška";"ženske";"Skupaj";1525
"898";2016;"Koroška";"ženske";"15-64";NA
"899";2016;"Koroška";"ženske";"15-24";NA
"900";2016;"Koroška";"ženske";"25-34";1256
"901";2016;"Koroška";"ženske";"35-44";1480
"902";2016;"Koroška";"ženske";"45-54";1574
"903";2016;"Koroška";"ženske";"55-64";1811
"904";2017;"Koroška";"ženske";"Skupaj";1560
"905";2017;"Koroška";"ženske";"15-64";1558
"906";2017;"Koroška";"ženske";"15-24";1028
"907";2017;"Koroška";"ženske";"25-34";1267
"908";2017;"Koroška";"ženske";"35-44";1512
"909";2017;"Koroška";"ženske";"45-54";1621
"910";2017;"Koroška";"ženske";"55-64";1830
"911";2018;"Koroška";"ženske";"Skupaj";1593
"912";2018;"Koroška";"ženske";"15-64";1591
"913";2018;"Koroška";"ženske";"15-24";1042
"914";2018;"Koroška";"ženske";"25-34";1322
"915";2018;"Koroška";"ženske";"35-44";1547
"916";2018;"Koroška";"ženske";"45-54";1654
"917";2018;"Koroška";"ženske";"55-64";1840
"918";2019;"Koroška";"ženske";"Skupaj";1661
"919";2019;"Koroška";"ženske";"15-64";1659
"920";2019;"Koroška";"ženske";"15-24";1095
"921";2019;"Koroška";"ženske";"25-34";1392
"922";2019;"Koroška";"ženske";"35-44";1608
"923";2019;"Koroška";"ženske";"45-54";1720
"924";2019;"Koroška";"ženske";"55-64";1914
"925";2008;"Koroška";"Skupaj";"Skupaj";1320
"926";2008;"Koroška";"Skupaj";"15-64";1318
"927";2008;"Koroška";"Skupaj";"15-24";924
"928";2008;"Koroška";"Skupaj";"25-34";1167
"929";2008;"Koroška";"Skupaj";"35-44";1317
"930";2008;"Koroška";"Skupaj";"45-54";1416
"931";2008;"Koroška";"Skupaj";"55-64";1697
"932";2009;"Koroška";"Skupaj";"Skupaj";1348
"933";2009;"Koroška";"Skupaj";"15-64";1346
"934";2009;"Koroška";"Skupaj";"15-24";917
"935";2009;"Koroška";"Skupaj";"25-34";1168
"936";2009;"Koroška";"Skupaj";"35-44";1347
"937";2009;"Koroška";"Skupaj";"45-54";1443
"938";2009;"Koroška";"Skupaj";"55-64";1746
"939";2010;"Koroška";"Skupaj";"Skupaj";1430
"940";2010;"Koroška";"Skupaj";"15-64";1428
"941";2010;"Koroška";"Skupaj";"15-24";986
"942";2010;"Koroška";"Skupaj";"25-34";1227
"943";2010;"Koroška";"Skupaj";"35-44";1439
"944";2010;"Koroška";"Skupaj";"45-54";1524
"945";2010;"Koroška";"Skupaj";"55-64";1813
"946";2011;"Koroška";"Skupaj";"Skupaj";1476
"947";2011;"Koroška";"Skupaj";"15-64";1474
"948";2011;"Koroška";"Skupaj";"15-24";1051
"949";2011;"Koroška";"Skupaj";"25-34";1264
"950";2011;"Koroška";"Skupaj";"35-44";1490
"951";2011;"Koroška";"Skupaj";"45-54";1554
"952";2011;"Koroška";"Skupaj";"55-64";1829
"953";2012;"Koroška";"Skupaj";"Skupaj";1491
"954";2012;"Koroška";"Skupaj";"15-64";1489
"955";2012;"Koroška";"Skupaj";"15-24";1059
"956";2012;"Koroška";"Skupaj";"25-34";1276
"957";2012;"Koroška";"Skupaj";"35-44";1487
"958";2012;"Koroška";"Skupaj";"45-54";1579
"959";2012;"Koroška";"Skupaj";"55-64";1857
"960";2013;"Koroška";"Skupaj";"Skupaj";1497
"961";2013;"Koroška";"Skupaj";"15-64";1495
"962";2013;"Koroška";"Skupaj";"15-24";1058
"963";2013;"Koroška";"Skupaj";"25-34";1277
"964";2013;"Koroška";"Skupaj";"35-44";1495
"965";2013;"Koroška";"Skupaj";"45-54";1569
"966";2013;"Koroška";"Skupaj";"55-64";1832
"967";2014;"Koroška";"Skupaj";"Skupaj";1534
"968";2014;"Koroška";"Skupaj";"15-64";1532
"969";2014;"Koroška";"Skupaj";"15-24";1095
"970";2014;"Koroška";"Skupaj";"25-34";1306
"971";2014;"Koroška";"Skupaj";"35-44";1521
"972";2014;"Koroška";"Skupaj";"45-54";1610
"973";2014;"Koroška";"Skupaj";"55-64";1815
"974";2015;"Koroška";"Skupaj";"Skupaj";1567
"975";2015;"Koroška";"Skupaj";"15-64";1563
"976";2015;"Koroška";"Skupaj";"15-24";1151
"977";2015;"Koroška";"Skupaj";"25-34";1343
"978";2015;"Koroška";"Skupaj";"35-44";1546
"979";2015;"Koroška";"Skupaj";"45-54";1630
"980";2015;"Koroška";"Skupaj";"55-64";1843
"981";2016;"Koroška";"Skupaj";"Skupaj";1600
"982";2016;"Koroška";"Skupaj";"15-64";1596
"983";2016;"Koroška";"Skupaj";"15-24";1169
"984";2016;"Koroška";"Skupaj";"25-34";1372
"985";2016;"Koroška";"Skupaj";"35-44";1578
"986";2016;"Koroška";"Skupaj";"45-54";1666
"987";2016;"Koroška";"Skupaj";"55-64";1858
"988";2017;"Koroška";"Skupaj";"Skupaj";1648
"989";2017;"Koroška";"Skupaj";"15-64";1645
"990";2017;"Koroška";"Skupaj";"15-24";1214
"991";2017;"Koroška";"Skupaj";"25-34";1415
"992";2017;"Koroška";"Skupaj";"35-44";1634
"993";2017;"Koroška";"Skupaj";"45-54";1712
"994";2017;"Koroška";"Skupaj";"55-64";1881
"995";2018;"Koroška";"Skupaj";"Skupaj";1699
"996";2018;"Koroška";"Skupaj";"15-64";1694
"997";2018;"Koroška";"Skupaj";"15-24";1230
"998";2018;"Koroška";"Skupaj";"25-34";1477
"999";2018;"Koroška";"Skupaj";"35-44";1692
"1000";2018;"Koroška";"Skupaj";"45-54";1766
"1001";2018;"Koroška";"Skupaj";"55-64";1901
"1002";2019;"Koroška";"Skupaj";"Skupaj";1757
"1003";2019;"Koroška";"Skupaj";"15-64";1751
"1004";2019;"Koroška";"Skupaj";"15-24";1273
"1005";2019;"Koroška";"Skupaj";"25-34";1522
"1006";2019;"Koroška";"Skupaj";"35-44";1743
"1007";2019;"Koroška";"Skupaj";"45-54";1838
"1008";2019;"Koroška";"Skupaj";"55-64";1964
"1009";2008;"Savinjska";"moški";"Skupaj";1374
"1010";2008;"Savinjska";"moški";"15-64";1372
"1011";2008;"Savinjska";"moški";"15-24";891
"1012";2008;"Savinjska";"moški";"25-34";1220
"1013";2008;"Savinjska";"moški";"35-44";1402
"1014";2008;"Savinjska";"moški";"45-54";1486
"1015";2008;"Savinjska";"moški";"55-64";1678
"1016";2009;"Savinjska";"moški";"Skupaj";1383
"1017";2009;"Savinjska";"moški";"15-64";1381
"1018";2009;"Savinjska";"moški";"15-24";884
"1019";2009;"Savinjska";"moški";"25-34";1224
"1020";2009;"Savinjska";"moški";"35-44";1416
"1021";2009;"Savinjska";"moški";"45-54";1504
"1022";2009;"Savinjska";"moški";"55-64";1651
"1023";2010;"Savinjska";"moški";"Skupaj";1467
"1024";2010;"Savinjska";"moški";"15-64";1464
"1025";2010;"Savinjska";"moški";"15-24";969
"1026";2010;"Savinjska";"moški";"25-34";1297
"1027";2010;"Savinjska";"moški";"35-44";1494
"1028";2010;"Savinjska";"moški";"45-54";1578
"1029";2010;"Savinjska";"moški";"55-64";1776
"1030";2011;"Savinjska";"moški";"Skupaj";1515
"1031";2011;"Savinjska";"moški";"15-64";1512
