LETO;DRZAVA;BDP
2013;Latvia;22966,3
2013;Lithuania;35039,5
2013;Luxembourg;46499,6
2013;Hungary;102034,3
2013;Malta;7944,3
2013;Netherlands;660463,0
2013;Austria;323910,2
2013;Poland;392310,7
2013;Portugal;170492,3
2013;Romania;143690,4
2013;Slovenia;36454,3
2013;Slovakia;74448,8
2013;Finland;204321,0
2013;Sweden;441850,7
2013;United Kingdom;2096338,0
2013;Iceland;12064,1
2013;Liechtenstein;4812,4
2013;Norway;393408,7
2013;Switzerland;536632,9
2013;Montenegro;3362,5
2013;North Macedonia;8149,6
2013;Albania;9625,4
2013;Serbia;36426,7
2013;Turkey;719726,6
2013;Bosnia and Herzegovina;13691,8
2013;Kosovo;5326,6
2014;Belgium;403003,3
2014;Bulgaria;42890,3
2014;Czechia;157821,3
2014;Denmark;265757,0
2014;Germany;2927430,0
2014;Estonia;20180,0
2014;Ireland;195148,1
2014;Greece;177349,4
2014;Spain;1032158,0
2014;France;2149765,0
2014;Croatia;43398,6
2014;Italy;1627405,6
2014;Cyprus;17430,2
2014;Latvia;23613,9
2014;Lithuania;36581,3
2014;Luxembourg;49824,5
2014;Hungary;106061,3
2014;Malta;8751,1
2014;Netherlands;671560,0
2014;Austria;333146,1
2014;Poland;408967,8
2014;Portugal;173053,7
2014;Romania;150708,6
2014;Slovenia;37634,3
2014;Slovakia;76269,8
2014;Finland;206897,0
2014;Sweden;438833,9
2014;United Kingdom;2311080,2
2014;Iceland;13389,9
2014;Liechtenstein;5021,7
2014;Norway;375947,3
2014;Switzerland;553942,2
2014;Montenegro;3457,9
2014;North Macedonia;8562,0
2014;Albania;9968,6
2014;Serbia;35467,5
2014;Turkey;707000,8
2014;Bosnia and Herzegovina;13988,3
2014;Kosovo;5567,5
2015;Belgium;416701,4
2015;Bulgaria;45690,9
2015;Czechia;169558,2
2015;Denmark;273017,6
2015;Germany;3026180,0
2015;Estonia;20782,2
2015;Ireland;262853,3
2015;Greece;176110,2
2015;Spain;1077590,0
2015;France;2198432,0
2015;Croatia;44612,0
2015;Italy;1655355,0
2015;Cyprus;17884,0
2015;Latvia;24560,9
2015;Lithuania;37345,7
2015;Luxembourg;52065,8
2015;Hungary;112701,0
2015;Malta;9996,7
2015;Netherlands;690008,0
2015;Austria;344269,2
2015;Poland;430465,8
2015;Portugal;179713,2
2015;Romania;160149,8
2015;Slovenia;38852,6
2015;Slovakia;79767,6
2015;Finland;211385,0
2015;Sweden;455494,7
2015;United Kingdom;2644716,5
2015;Iceland;15679,8
2015;Liechtenstein;5649,1
2015;Norway;347632,1
2015;Switzerland;632770,5
2015;Montenegro;3654,5
2015;North Macedonia;9072,3
2015;Albania;10264,1
2015;Serbia;35740,2
2015;Turkey;777042,3
2015;Bosnia and Herzegovina;14617,4
2015;Kosovo;5807,0
2016;Belgium;430085,3
2016;Bulgaria;48640,2
2016;Czechia;177438,5
2016;Denmark;283109,7
2016;Germany;3134740,0
2016;Estonia;21931,5
2016;Ireland;270809,5
2016;Greece;174236,9
2016;Spain;1113840,0
2016;France;2234129,0
2016;Croatia;46619,3
2016;Italy;1695786,8
2016;Cyprus;18929,3
2016;Latvia;25360,3
2016;Lithuania;38889,9
2016;Luxembourg;54867,2
2016;Hungary;116129,8
2016;Malta;10571,5
2016;Netherlands;708337,0
2016;Austria;357608,0
2016;Poland;427091,8
2016;Portugal;186489,8
2016;Romania;170063,4
2016;Slovenia;40443,2
2016;Slovakia;81051,5
2016;Finland;217518,0
2016;Sweden;466266,5
2016;United Kingdom;2434119,2
2016;Iceland;18646,1
2016;Liechtenstein;5637,7
2016;Norway;333471,3
2016;Switzerland;628729,6
2016;Montenegro;3954,2
2016;North Macedonia;9656,5
2016;Albania;10719,9
2016;Serbia;36779,3
2016;Turkey;785618,9
2016;Bosnia and Herzegovina;15289,9
2016;Kosovo;6070,1
2017;Belgium;444991,1
2017;Bulgaria;52329,0
2017;Czechia;194132,9
2017;Denmark;294808,2
2017;Germany;3259860,0
2017;Estonia;23857,7
2017;Ireland;300386,9
2017;Greece;177151,9
2017;Spain;1161867,0
2017;France;2297242,0
2017;Croatia;49238,5
2017;Italy;1736592,8
2017;Cyprus;20119,9
2017;Latvia;26962,3
2017;Lithuania;42276,3
2017;Luxembourg;56814,2
2017;Hungary;126891,0
2017;Malta;11674,7
2017;Netherlands;738146,0
2017;Austria;369341,3
2017;Poland;467426,6
2017;Portugal;195947,2
2017;Romania;187772,7
2017;Slovenia;43009,1
2017;Slovakia;84532,2
2017;Finland;225933,0
2017;Sweden;480025,5
2017;United Kingdom;2359789,9
2017;Iceland;21699,1
2017;Liechtenstein;5804,3
2017;Norway;353316,4
2017;Switzerland;623994,0
2017;Montenegro;4299,1
2017;North Macedonia;10038,3
2017;Albania;11559,0
2017;Serbia;39235,3
2017;Turkey;760497,1
2017;Bosnia and Herzegovina;16042,4
2017;Kosovo;6413,8
2018;Belgium;460419,4
2018;Bulgaria;56111,8
2018;Czechia;210892,7
2018;Denmark;302361,1
2018;Germany;3356410,0
2018;Estonia;25937,6
2018;Ireland;326986,1
2018;Greece;179727,3
2018;Spain;1204241,0
2018;France;2360687,0
2018;Croatia;51950,1
2018;Italy;1771063,1
2018;Cyprus;21432,4
2018;Latvia;29142,5
2018;Lithuania;45491,1
2018;Luxembourg;60053,1
2018;Hungary;135931,0
2018;Malta;12508,3
2018;Netherlands;773987,0
2018;Austria;385361,9
2018;Poland;497842,3
2018;Portugal;205184,1
2018;Romania;204496,9
2018;Slovenia;45862,6
2018;Slovakia;89505,5
2018;Finland;233664,0
2018;Sweden;470673,1
2018;United Kingdom;2420897,2
2018;Iceland;21796,7
2018;Liechtenstein;5822,5
2018;Norway;367893,7
2018;Switzerland;623042,2
2018;Montenegro;4663,1
2018;North Macedonia;10744,0
2018;Albania;12820,1
2018;Serbia;42892,2
2018;Turkey;658464,1
2018;Bosnia and Herzegovina;17099,7
2018;Kosovo;6725,9
2019;Belgium;476203,3
2019;Bulgaria;61239,5
2019;Czechia;223945,0
2019;Denmark;312747,2
2019;Germany;3449050,0
2019;Estonia;28112,4
2019;Ireland;356051,2
2019;Greece;183413,5
2019;Spain;1244772,0
2019;France;2425708,0
2019;Croatia;54237,9
2019;Italy;1789747,0
2019;Cyprus;22286,9
2019;Latvia;30463,3
2019;Lithuania;48797,4
2019;Luxembourg;63516,3
2019;Hungary;146061,8
2019;Malta;13462,4
2019;Netherlands;810247,0
2019;Austria;397575,3
2019;Poland;532329,2
2019;Portugal;213301,0
2019;Romania;223337,4
2019;Slovenia;48392,6
2019;Slovakia;93865,2
2019;Finland;240556,0
2019;Sweden;474468,2
2019;United Kingdom;2522713,2
2019;Iceland;21635,2
2019;Liechtenstein;NA
2019;Norway;360300,9
2019;Switzerland;653470,8
2019;Montenegro;4950,7
2019;North Macedonia;11209,1
2019;Albania;13644,7
2019;Serbia;45970,4
2019;Turkey;679510,4
2019;Bosnia and Herzegovina;18012,2
2019;Kosovo;7103,8
