"","Leto","Drzava","BDP_na_prebivalca"
"212",2013,"Switzerland",66340
"213",2013,"Montenegro",5410
"214",2013,"North Macedonia",3950
"215",2013,"Albania",3320
"216",2013,"Serbia",5080
"217",2013,"Turkey",9450
"218",2014,"Belgium",35950
"219",2014,"Bulgaria",5940
"220",2014,"Czechia",15000
"221",2014,"Denmark",47090
"222",2014,"Germany",36150
"223",2014,"Estonia",15340
"224",2014,"Ireland",41950
"225",2014,"Greece",16280
"226",2014,"Spain",22220
"227",2014,"France",32420
"228",2014,"Croatia",10250
"229",2014,"Italy",26770
"230",2014,"Cyprus",20450
"231",2014,"Latvia",11840
"232",2014,"Lithuania",12480
"233",2014,"Luxembourg",89240
"234",2014,"Hungary",10750
"235",2014,"Malta",20120
"236",2014,"Netherlands",39820
"237",2014,"Austria",38990
"238",2014,"Poland",10630
"239",2014,"Portugal",16640
"240",2014,"Romania",7570
"241",2014,"Slovenia",18250
"242",2014,"Slovakia",14080
"243",2014,"Finland",37880
"244",2014,"Sweden",45260
"245",2014,"United Kingdom",35780
"246",2014,"Iceland",40900
"247",2014,"Liechtenstein",133180
"248",2014,"Norway",73180
"249",2014,"Switzerland",67650
"250",2014,"Montenegro",5560
"251",2014,"North Macedonia",4140
"252",2014,"Albania",3450
"253",2014,"Serbia",4970
"254",2014,"Turkey",9160
"255",2015,"Belgium",36960
"256",2015,"Bulgaria",6370
"257",2015,"Czechia",16080
"258",2015,"Denmark",48050
"259",2015,"Germany",37050
"260",2015,"Estonia",15820
"261",2015,"Ireland",55980
"262",2015,"Greece",16270
"263",2015,"Spain",23220
"264",2015,"France",33020
"265",2015,"Croatia",10600
"266",2015,"Italy",27260
"267",2015,"Cyprus",21100
"268",2015,"Latvia",12420
"269",2015,"Lithuania",12860
"270",2015,"Luxembourg",91440
"271",2015,"Hungary",11450
"272",2015,"Malta",22450
"273",2015,"Netherlands",40730
"274",2015,"Austria",39890
"275",2015,"Poland",11190
"276",2015,"Portugal",17350
"277",2015,"Romania",8080
"278",2015,"Slovenia",18830
"279",2015,"Slovakia",14710
"280",2015,"Finland",38570
"281",2015,"Sweden",46480
"282",2015,"United Kingdom",40620
"283",2015,"Iceland",47400
"284",2015,"Liechtenstein",148440
"285",2015,"Norway",66980
"286",2015,"Switzerland",76400
"287",2015,"Montenegro",5870
"288",2015,"North Macedonia",4380
"289",2015,"Albania",3560
"290",2015,"Serbia",5040
"291",2015,"Turkey",9930
"292",2016,"Belgium",37960
"293",2016,"Bulgaria",6820
"294",2016,"Czechia",16790
"295",2016,"Denmark",49420
"296",2016,"Germany",38070
"297",2016,"Estonia",16670
"298",2016,"Ireland",57020
"299",2016,"Greece",16170
"300",2016,"Spain",23980
"301",2016,"France",33430
"302",2016,"Croatia",11170
"303",2016,"Italy",27970
"304",2016,"Cyprus",22230
"305",2016,"Latvia",12940
"306",2016,"Lithuania",13560
"307",2016,"Luxembourg",93930
"308",2016,"Hungary",11830
"309",2016,"Malta",23200
"310",2016,"Netherlands",41590
"311",2016,"Austria",40920
"312",2016,"Poland",11110
"313",2016,"Portugal",18060
"314",2016,"Romania",8630
"315",2016,"Slovenia",19590
"316",2016,"Slovakia",14920
"317",2016,"Finland",39580
"318",2016,"Sweden",46990
"319",2016,"United Kingdom",37080
"320",2016,"Iceland",55590
"321",2016,"Liechtenstein",147270
"322",2016,"Norway",63690
"323",2016,"Switzerland",75090
"324",2016,"Montenegro",6350
"325",2016,"North Macedonia",4660
"326",2016,"Albania",3730
"327",2016,"Serbia",5210
"328",2016,"Turkey",9910
"329",2017,"Belgium",39120
"330",2017,"Bulgaria",7400
"331",2017,"Czechia",18330
"332",2017,"Denmark",51140
"333",2017,"Germany",39440
"334",2017,"Estonia",18130
"335",2017,"Ireland",62550
"336",2017,"Greece",16470
"337",2017,"Spain",24970
"338",2017,"France",34250
"339",2017,"Croatia",11920
"340",2017,"Italy",28690
"341",2017,"Cyprus",23410
"342",2017,"Latvia",13890
"343",2017,"Lithuania",14950
"344",2017,"Luxembourg",95170
"345",2017,"Hungary",12960
"346",2017,"Malta",24920
"347",2017,"Netherlands",43090
"348",2017,"Austria",41990
"349",2017,"Poland",12170
"350",2017,"Portugal",19020
"351",2017,"Romania",9580
"352",2017,"Slovenia",20820
"353",2017,"Slovakia",15540
"354",2017,"Finland",41020
"355",2017,"Sweden",47730
"356",2017,"United Kingdom",35730
"357",2017,"Iceland",63190
"358",2017,"Liechtenstein",150490
"359",2017,"Norway",66950
"360",2017,"Switzerland",73830
"361",2017,"Montenegro",6910
"362",2017,"North Macedonia",4840
"363",2017,"Albania",4020
"364",2017,"Serbia",5590
"365",2017,"Turkey",9470
"366",2018,"Belgium",40290
"367",2018,"Bulgaria",7990
"368",2018,"Czechia",19850
"369",2018,"Denmark",52190
"370",2018,"Germany",40480
"371",2018,"Estonia",19660
"372",2018,"Ireland",67270
"373",2018,"Greece",16750
"374",2018,"Spain",25770
"375",2018,"France",35100
"376",2018,"Croatia",12700
"377",2018,"Italy",29290
"378",2018,"Cyprus",24630
"379",2018,"Latvia",15130
"380",2018,"Lithuania",16240
"381",2018,"Luxembourg",98640
"382",2018,"Hungary",13910
"383",2018,"Malta",25780
"384",2018,"Netherlands",44920
"385",2018,"Austria",43600
"386",2018,"Poland",12960
"387",2018,"Portugal",19950
"388",2018,"Romania",10500
"389",2018,"Slovenia",22130
"390",2018,"Slovakia",16440
"391",2018,"Finland",42360
"392",2018,"Sweden",46260
"393",2018,"United Kingdom",36440
"394",2018,"Iceland",61800
"395",2018,"Liechtenstein",150130
"396",2018,"Norway",69260
"397",2018,"Switzerland",73180
"398",2018,"Montenegro",7490
"399",2018,"Albania",4470
"400",2018,"Serbia",6140
"401",2018,"Turkey",8090
"402",2019,"Belgium",41460
"403",2019,"Bulgaria",8780
"404",2019,"Czechia",20990
