"Bruto domaèi proizvod, statistiène regije, Slovenija, letno"

"MERITVE";"LETO";"STATISTIÈNA REGIJA";Bruto domaèi proizvod
"Mio EUR (fiksni teèaj 2007)";"2015";"Koroška";1091
"Mio EUR (fiksni teèaj 2007)";"2015";"Savinjska";4426
"Mio EUR (fiksni teèaj 2007)";"2015";"Zasavska";588
"Mio EUR (fiksni teèaj 2007)";"2015";"Posavska";1196
"Mio EUR (fiksni teèaj 2007)";"2015";"Jugovzhodna Slovenija";2555
"Mio EUR (fiksni teèaj 2007)";"2015";"Osrednjeslovenska";14210
"Mio EUR (fiksni teèaj 2007)";"2015";"Gorenjska";3392
"Mio EUR (fiksni teèaj 2007)";"2015";"Primorsko-notranjska";738
"Mio EUR (fiksni teèaj 2007)";"2015";"Goriška";2042
"Mio EUR (fiksni teèaj 2007)";"2015";"Obalno-kraška";2123
"Mio EUR (fiksni teèaj 2007)";"2016";"Pomurska";1540
"Mio EUR (fiksni teèaj 2007)";"2016";"Podravska";5157
"Mio EUR (fiksni teèaj 2007)";"2016";"Koroška";1127
"Mio EUR (fiksni teèaj 2007)";"2016";"Savinjska";4581
"Mio EUR (fiksni teèaj 2007)";"2016";"Zasavska";600
"Mio EUR (fiksni teèaj 2007)";"2016";"Posavska";1239
"Mio EUR (fiksni teèaj 2007)";"2016";"Jugovzhodna Slovenija";2632
"Mio EUR (fiksni teèaj 2007)";"2016";"Osrednjeslovenska";14892
"Mio EUR (fiksni teèaj 2007)";"2016";"Gorenjska";3494
"Mio EUR (fiksni teèaj 2007)";"2016";"Primorsko-notranjska";770
"Mio EUR (fiksni teèaj 2007)";"2016";"Goriška";2126
"Mio EUR (fiksni teèaj 2007)";"2016";"Obalno-kraška";2208
"Mio EUR (fiksni teèaj 2007)";"2017";"Pomurska";1621
"Mio EUR (fiksni teèaj 2007)";"2017";"Podravska";5425
"Mio EUR (fiksni teèaj 2007)";"2017";"Koroška";1181
"Mio EUR (fiksni teèaj 2007)";"2017";"Savinjska";4862
"Mio EUR (fiksni teèaj 2007)";"2017";"Zasavska";627
"Mio EUR (fiksni teèaj 2007)";"2017";"Posavska";1302
"Mio EUR (fiksni teèaj 2007)";"2017";"Jugovzhodna Slovenija";2898
"Mio EUR (fiksni teèaj 2007)";"2017";"Osrednjeslovenska";15816
"Mio EUR (fiksni teèaj 2007)";"2017";"Gorenjska";3784
"Mio EUR (fiksni teèaj 2007)";"2017";"Primorsko-notranjska";793
"Mio EUR (fiksni teèaj 2007)";"2017";"Goriška";2258
"Mio EUR (fiksni teèaj 2007)";"2017";"Obalno-kraška";2420
"Mio EUR (fiksni teèaj 2007)";"2018";"Pomurska";1714
"Mio EUR (fiksni teèaj 2007)";"2018";"Podravska";5749
"Mio EUR (fiksni teèaj 2007)";"2018";"Koroška";1264
"Mio EUR (fiksni teèaj 2007)";"2018";"Savinjska";5115
"Mio EUR (fiksni teèaj 2007)";"2018";"Zasavska";661
"Mio EUR (fiksni teèaj 2007)";"2018";"Posavska";1383
"Mio EUR (fiksni teèaj 2007)";"2018";"Jugovzhodna Slovenija";3104
"Mio EUR (fiksni teèaj 2007)";"2018";"Osrednjeslovenska";16970
"Mio EUR (fiksni teèaj 2007)";"2018";"Gorenjska";4041
"Mio EUR (fiksni teèaj 2007)";"2018";"Primorsko-notranjska";829
"Mio EUR (fiksni teèaj 2007)";"2018";"Goriška";2341
"Mio EUR (fiksni teèaj 2007)";"2018";"Obalno-kraška";2584
