"","Leto","Drzava","BDP"
"189",2012,"Bosnia and Herzegovina",13407.5
"190",2012,"Kosovo",5058.8
"191",2013,"Belgium",392880
"192",2013,"Bulgaria",41903.5
"193",2013,"Czechia",159461.5
"194",2013,"Denmark",258742.7
"195",2013,"Germany",2811350
"196",2013,"Estonia",19033.4
"197",2013,"Ireland",179616.3
"198",2013,"Greece",179616.4
"199",2013,"Spain",1020348
"200",2013,"France",2117189
"201",2013,"Croatia",43806.3
"202",2013,"Italy",1612751.3
"203",2013,"Cyprus",17995
"204",2013,"Latvia",22966.3
"205",2013,"Lithuania",35039.5
"206",2013,"Luxembourg",46499.6
"207",2013,"Hungary",102034.3
"208",2013,"Malta",7944.3
"209",2013,"Netherlands",660463
"210",2013,"Austria",323910.2
"211",2013,"Poland",392310.7
"212",2013,"Portugal",170492.3
"213",2013,"Romania",143690.4
"214",2013,"Slovenia",36454.3
"215",2013,"Slovakia",74448.8
"216",2013,"Finland",204321
"217",2013,"Sweden",441850.7
"218",2013,"United Kingdom",2096338
"219",2013,"Iceland",12064.1
"220",2013,"Liechtenstein",4812.4
"221",2013,"Norway",393408.7
"222",2013,"Switzerland",536632.9
"223",2013,"Montenegro",3362.5
"224",2013,"North Macedonia",8149.6
"225",2013,"Albania",9625.4
"226",2013,"Serbia",36426.7
"227",2013,"Turkey",719726.6
"228",2013,"Bosnia and Herzegovina",13691.8
"229",2013,"Kosovo",5326.6
"230",2014,"Belgium",403003.3
"231",2014,"Bulgaria",42890.3
"232",2014,"Czechia",157821.3
"233",2014,"Denmark",265757
"234",2014,"Germany",2927430
"235",2014,"Estonia",20180
"236",2014,"Ireland",195148.1
"237",2014,"Greece",177349.4
"238",2014,"Spain",1032158
"239",2014,"France",2149765
"240",2014,"Croatia",43398.6
"241",2014,"Italy",1627405.6
"242",2014,"Cyprus",17430.2
"243",2014,"Latvia",23613.9
"244",2014,"Lithuania",36581.3
"245",2014,"Luxembourg",49824.5
"246",2014,"Hungary",106061.3
"247",2014,"Malta",8751.1
"248",2014,"Netherlands",671560
"249",2014,"Austria",333146.1
"250",2014,"Poland",408967.8
"251",2014,"Portugal",173053.7
"252",2014,"Romania",150708.6
"253",2014,"Slovenia",37634.3
"254",2014,"Slovakia",76269.8
"255",2014,"Finland",206897
"256",2014,"Sweden",438833.9
"257",2014,"United Kingdom",2311080.2
"258",2014,"Iceland",13389.9
"259",2014,"Liechtenstein",5021.7
"260",2014,"Norway",375947.3
"261",2014,"Switzerland",553942.2
"262",2014,"Montenegro",3457.9
"263",2014,"North Macedonia",8562
